Word,Definition
surrender,acceptance of despair
commie,a socialist who advocates communism
newsprint,cheap paper made from wood pulp and used for printing newspapers
expected,regard something as probable or likely
soviet,an elected governmental council in a communist country (especially one that is a member of the Union of Soviet Socialist Republics)
parachuting,descent with a parachute
sky,the atmosphere and outer space as viewed from the earth
shoe,footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
convinced,"make (someone) agree, understand, or realize the truth or validity of something"
handed,place into the hands or custody of
asked,inquire about
inside,the region that is inside of something
raccoons,the fur of the North American racoon
turned,"change orientation or direction, also in the abstract sense"
haunted,follow stealthily or recur constantly and spontaneously to
pond,a small lake
shack,small crude shelter used as a dwelling
gave,"cause to have, in the abstract sense or physical sense"
look,the feelings expressed on a person's face
flying,an instance of traveling by air
com,unavailable
voice,the distinctive quality or pitch or condition of a person's speech
cracked,become fractured; break or crack on the surface only
sank,fall or descend to a lower place or level
teeth,the kind and number and arrangement of teeth (collectively) in a person or animal
holding,the act of retaining something
head,the upper part of the human body or the front part of the body in animals; contains the face and brains
trophy,an award for success in war or hunting
slid,"move obliquely or sideways, usually in an uncontrolled manner"
hill,a local and well-defined elevation of the land
loose,grant freedom to; free from confinement
papers,writing that provides information (especially information of an official nature)
million,the number that is represented as a one followed by 6 zeros
pieces,a separate part of a whole
times,a more or less definite period of time now or previously present
loudly,with relatively high volume
mornings,the time period between dawn and noon
jar,a vessel (usually cylindrical) with a wide mouth and without handles
way,how something is done or how it happens
stayed,stay the same; remain in a certain state
shattered,break into many pieces
raining,precipitate as rain
got,come into the possession of something concrete or abstract
sure,having or feeling no doubt or uncertainty; confident and assured
deal,a particular instance of buying or selling
mother,a woman who has given birth to a child (also used as a term of address to your mother)
work,activity directed toward making or doing something
article,nonfictional prose forming an independent part of a publication
unwrapped,remove the outer cover or wrapping of
paper,a material made of cellulose pulp derived mainly from wood or rags or certain grasses
percent,a proportion in relation to a whole (which is usually the amount per hundred)
miserable,very unhappy; full of misery
tell,a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap)
camp,temporary living quarters specially built by the army for soldiers
german,a person of German nationality
locked,fasten with a lock
knew,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
bounced,spring back; spring away from an impact
clock,a timepiece that shows the time of day
oh,a midwestern state in north central United States in the Great Lakes region
careless,marked by lack of attention or consideration or forethought or thoroughness; not careful
hi,an expression of greeting
retorted,answer back
called,assign a specified (usually proper) proper name to
handing,place into the hands or custody of
dad,an informal term for a father; probably derived from baby talk
anymore,at the present or from now on; usually used with a negative
wrapping,the covering (usually paper or cellophane) in which something is wrapped
purchase,the acquisition of something for payment
noticed,"discover or determine the existence, presence, or fact of"
immediately,without delay or hesitation; with no time intervening
reached,"reach a destination, either real or abstract"
crumple,fall apart
snatched,to grasp hastily or eagerly
commies,a socialist who advocates communism
allies,the alliance of nations that fought the Axis in World War II and which (with subsequent additions) signed the charter of the United Nations in 1945
wrapped,arrange or fold as a cover or protection
package,a collection of things wrapped or boxed together
growled,to utter or emit low dull rumbling sounds
held,"keep in a certain state, position, or activity; e.g.,"
hand,the (prehensile) extremity of the superior limb
slammed,close violently
door,a swinging or sliding barrier that will close the entrance to a room or building or vehicle
stormed,"behave violently, as if in state of a great anger"
heard,perceive (sound) via the auditory sense
accuse,bring an accusation against; level a charge against
communist,a member of the communist party
struck,"deliver a sharp blow, as with the hand, fist, or weapon"
possibility,a future prospect or potential
took,carry out
baby,a very young child (birth to 1 year) who has not yet begun to walk or talk
blanket,bedding that keeps a person warm in bed
containing,include or contain; have as a component
dead,people who are no longer living
fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
face,the front of the human head from the forehead to the chin and ear to ear
deadly,causing or capable of causing death
purchases,the acquisition of something for payment
sandwich,two (or more) slices of bread with a filling between them
walked,use one's feet to advance; advance by steps
inspected,look over carefully
broken,terminate
glass,a brittle transparent solid with irregular atomic structure
floor,"the inside lower horizontal surface (as of a room, hallway, tent, or other structure)"
seen,perceive by sight or have the power to perceive by sight
felt,a fabric made of compressed matted animal fibers
humiliated,cause to feel shame; hurt the pride of
store,a mercantile establishment for the retail sale of goods or services
gathered,assemble or get together
tongue,a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity
clucked,"make a clucking sounds, characteristic of hens"
reply,a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
lady,a polite name for any woman
buying,the act of buying
eggs,oval reproductive body of a fowl (especially a hen) used as food
afternoon,the part of the day between noon and evening
spend,pass time in a specific way
helping,an individual quantity of food or drink taken as part of a meal
room,an area within a building enclosed by walls and floor and ceiling
hurried,move very fast
sweep,a wide scope
counter,table consisting of a horizontal surface over which business is transacted
leave,the period of time during which you are absent from work or duty
decided,"reach, make, or come to a decision about something"
count,the total number counted
huffed,inhale recreational drugs
blue,blue color or pigment; resembling the color of the clear sky in the daytime
staring,look at with fixed eyes
hungry,feeling hunger; feeling a need or desire to eat food
complained,"express complaints, discontent, displeasure, or unhappiness"
bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
wrap,cloak that is folded or wrapped around a person
items,a distinct part that can be specified separately in a group of things that could be enumerated on a list
people,(plural) any group of human beings (men or women or children) collectively
bought,obtain by purchase; acquire by means of a financial transaction
thinking,the process of using your mind to consider something carefully
register,an official written record of names or events or transactions
pecking,hit lightly with a picking motion
keys,metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated
newspapers,a daily or weekly publication on folded sheets; contains news and articles and advertisements
heading,a line of text serving to indicate what the passage below it is about
sort,a category of things distinguished by some common characteristic or quality
joke,a humorous anecdote or remark intended to provoke laughter
talking,an exchange of ideas via conversation
laughed,produce laughter
stopped,"come to a halt, stop moving"
laughing,produce laughter
weekends,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday
gets,a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent
cold,a mild viral infection involving the nose and respiratory passages (but not the lungs)
forced,"to cause to do through pressure or necessity, by physical, moral or intellectual means :"
sounded,appear in a certain way
saw,a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
page,one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
sheet,any broad thin expanse or surface
glanced,throw a glance at; take a brief look at
lightbulbs,electric lamp consisting of a transparent or translucent glass housing containing a wire filament (usually tungsten) that emits light when heated by electricity
flinched,"draw back, as with fear or pain"
left,location near or direction toward the left side; i.e. the side to the north when a person or object faces east
customers,someone who pays for goods or services
wondered,have a wish or desire to know something
finish,a decorative texture or appearance of a surface (or the substance that gives it that appearance)
looking,the act of directing the eyes toward something and perceiving it visually
end,either extremity of something that has length
going,the act of departing
hospital,a health facility where patients receive treatment
deep,the central and most intense or profound part
breath,the process of taking in and expelling air during breathing
word,a unit of language that native speakers can identify
scars,a mark left (usually on the skin) by the healing of injured tissue
clear,the state of being free of suspicion
eat,take in solid food
spot,a point located with respect to surface features of some region
table,a set of data arranged in rows and columns
probably,with considerable certainty; without much doubt
calling,the particular occupation for which you are trained
phone,electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds
rang,sound loudly and sonorously
picked,select carefully from a group
accordion,a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player
playing,the act of playing a musical instrument
player,a person who participates in or is skilled at some game
record,anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events
went,"change location; move, travel, or proceed, also metaphorically"
walk,the act of traveling by foot
learn,gain knowledge or skills
lawn,a field of cultivated and mowed grass
skipped,bypass
loafers,person who does no work
penny,a fractional monetary unit of Ireland and the United Kingdom; equal to one hundredth of a pound
atomic,of or relating to or comprising atoms
dropped,let fall to the ground
happen,come to pass
grass,narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay
wet,wetness caused by water
smell,the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form
suddenly,happening unexpectedly
cried,utter a sudden loud cry
kept,"keep in a certain state, position, or activity; e.g.,"
dreamed,have a daydream; indulge in a fantasy
mention,a remark that calls attention to something or someone
guess,a message expressing an opinion based on incomplete evidence
distracted,draw someone's attention away from something
notice,"an announcement containing information about an event; ; ; ""a notice of sale"
hardware,major items of military weaponry (as tanks or missile)
owned,have ownership or possession of
care,the work of providing treatment for or attending to someone or something
worry,something or someone that causes anxiety; a source of unhappiness
woke,"be awake, be alert, be there"
reading,the cognitive process of understanding a written linguistic message
distress,psychological suffering
movies,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
hear,perceive (sound) via the auditory sense
start,the beginning of anything
yelling,uttering a loud inarticulate cry as of pain or excitement
$,unavailable
running,(American football) a play in which a player attempts to carry the ball through or past the opposing team
worrying,the act of harassing someone
day,time for Earth to make a complete rotation on its axis
hands,(with `in') guardianship over; in divorce cases it is the right to house and care for and discipline a child
waving,the act of signaling by a movement of the hand
outside,the region that is outside of something
stood,be standing; be upright
short,the location on a baseball field where the shortstop is stationed
past,the time that has elapsed
church,one of the groups of Christians who have their own beliefs and forms of worship
dollars,the basic monetary unit in many countries; equal to 100 cents
lot,(often followed by `of') a large number or amount or extent
supposed,express a supposition
sleep,a natural and periodic state of rest during which consciousness of the world is suspended
yes,an affirmative
tossing,throw or toss with a light motion
spaghetti,spaghetti served with a tomato sauce
colander,bowl-shaped strainer; used to wash or drain foods
strands,a pattern forming a unity within a larger structural whole
pasta,a dish that contains pasta as its main ingredient
wriggled,"to move in a twisting or contorted motion, (especially when struggling)"
edge,the boundary of a surface
fell,the dressed skin of an animal (especially a large animal)
enthusiasm,a feeling of excitement
blast,a very long fly ball
maybe,by chance
pantry,a small storeroom for storing foods or wines
small,the slender part of the back
wall,an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure
hung,be suspended or hanging
beds,a piece of furniture that provides a place to sleep
bunk,a long trough for feeding cattle
weeks,any period of seven consecutive days
creating,make or cause to be or to become
blocks,a solid piece of something (usually having flat rectangular sides)
concrete,a strong hard building material composed of sand and gravel and cement and water
walls,an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure
space,the unlimited expanse in which everything is located
canned,preserve in a can or tin
monster,an imaginary creature usually having various human and animal parts
intruders,someone who intrudes on the privacy or property of another without permission
ward,a person who is under the protection or in the custody of another
hungarian,a native or inhabitant of Hungary
cardinal,(Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes
movie,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
ushers,Irish prelate who deduced from the Bible that Creation occurred in the year 4004 BC (1581-1656)
caps,a tight-fitting headdress
jackets,a short coat
joked,tell a joke; speak humorously
mood,a characteristic (habitual or relatively temporary) state of feeling
parents,a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian
told,express in words
seat,a space reserved for sitting (as in a theater or on a train or airplane)
couple,a pair who associate with one another
goods,benefit
browned,fry in a pan until it changes color
hiding,the activity of keeping something secret
hills,a local and well-defined elevation of the land
course,education imparted in a series of lessons or meetings
communism,a form of socialism that abolishes private ownership
written,produce a literary work
books,a written work or composition that has been published (printed on pages bound together)
guy,an informal term for a youth or man
liked,prefer or wish to do something
visit,the act of going to see some person or place or thing for a short time
reporter,a person who investigates and reports or edits news stories
money,the most common medium of exchange; functions as legal tender
reminded,put in the mind of someone
awful,exceptionally bad or displeasing
car,a motor vehicle with four wheels; usually propelled by an internal combustion engine
rest,something left after other parts have been taken away
trying,make an effort or attempt
remember,recall knowledge from memory; have a recollection
enjoy,derive or receive pleasure from; get enjoyment from; take pleasure in
cake,a block of solid substance (such as soap or wax)
tough,someone who learned to fight in the streets rather than being formally trained in the sport of boxing
american,a native or inhabitant of the United States
evening,the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
perfectly,completely and without qualification; used informally as intensifiers
read,something that is read
stove,a kitchen appliance used for cooking food
cooking,the act of preparing something (as food) by the application of heat
lunch,a midday meal
corn,tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
garden,a plot of ground where plants are cultivated
dinner,the main meal of the day served in the evening or at midday
plum,any of several trees producing edible oval fruit having a smooth skin and a single hard stone
sitting,(photography) the act of assuming a certain position (as for a photograph or portrait)
starred,feature as the star
congressional,of or relating to congress
investigator,a scientist who devotes himself to doing research
fighting,the act of fighting; any contest or struggle
kitchen,a room equipped for preparing meals
nice,a city in southeastern France on the Mediterranean; the leading resort on the French Riviera
supplies,an amount of something available for use
water,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent
prayed,"address a deity, a prophet, a saint or an object of worship; say a prayer"
drop,a shape that is spherical and small
shoved,come into rough contact with while moving
knelt,rest one's weight on one's knees
shrugged,raise one's shoulders to indicate indifference or resignation
explained,make plain and comprehensible
afterward,happening at a time subsequent to a reference time
double,a base hit on which the batter stops safely at second base
heart,the locus of feelings and intuitions
feature,a prominent attribute or aspect of something
beating,the act of overcoming or outdoing
fast,abstaining from food
wanted,feel or have a desire for; want strongly
aloud,using the voice; not silently
relief,the feeling that comes when something burdensome is removed or reduced
beers,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
cooler,a refrigerator for cooling liquids
sat,the seventh and last day of the week; observed as the Sabbath by Jews and some Christians
die,a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers
legs,staying power
sneak,a person who is regarded as underhanded and furtive and contemptible
believe,accept as true; take to be true
story,a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
placed,put into a certain place or abstract location
speak,express in speech
need,a condition requiring relief
bodies,"the entire structure of an organism (an animal, plant, or human being)"
tattooed,stain (skin) with indelible color
numbers,the fourth book of the Old Testament; contains a record of the number of Israelites who followed Moses out of Egypt
able,(usually followed by `to') having the necessary means or skill or know-how or authority to do something
twice,two times
gone,"change location; move, travel, or proceed, also metaphorically"
pale,a wooden strip forming part of a fence
brown,an orange of low brightness and saturation
yellow,yellow color or pigment; the chromatic color resembling the hue of sunflowers or ripe lemons
flecks,a small fragment of something broken off from the whole
muddy,dirty with mud
stream,a natural body of running water flowing on or under the earth
pans,cooking utensil consisting of a wide metal vessel
gold,coins made of gold
prisoners,a person who is confined; especially a prisoner of war
concentration,the strength of a solution; number of molecules of a substance in a given volume
camps,temporary living quarters specially built by the army for soldiers
given,an assumption that is taken for granted
knock,the sound of knocking (as on a door or in an engine or bearing)
answer,a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
returned,"go or come back to place, condition, or activity where one has been before"
moment,a particular point in time
beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
later,coming at a subsequent time or stage
root,(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground
finishing,a decorative texture or appearance of a surface (or the substance that gives it that appearance)
known,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
gypsies,a laborer who moves from place to place as demanded by employment
nodded,express or signify by nodding
bright,emitting or reflecting light readily or in large amounts
cheerful,being full of or promoting cheer; having or showing good spirits
find,a productive insight
words,the words that are spoken
stared,look at with fixed eyes
long,desire strongly or persistently
matter,a vaguely specified concern
having,"have or possess, either in a concrete or an abstract sense"
grunted,"issue a grunting, low, animal-like noise"
window,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air
washing,the work of cleansing (usually with soap and water)
arrived,reach a destination; arrive by movement or progress
life,a characteristic state or mode of living
understood,know and comprehend the nature or meaning of
pay,something that remunerates
heed,paying particular notice (as to children or helpless people)
sister,a female person who has the same parents as another person
firmly,with resolute determination
thank,express gratitude or show appreciation to
owed,be obliged to pay or repay
quietly,with low volume
sign,a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
noon,the middle of the day
fault,a wrong action attributable to bad judgment or ignorance or inattention
moods,a characteristic (habitual or relatively temporary) state of feeling
needing,"require as useful, just, or proper"
thought,the content of cognition; the main thing you are thinking about
smarter,showing mental alertness and calculation and resourcefulness
expelled,force to leave or move out
gotten,come into the possession of something concrete or abstract
gut,the part of the alimentary canal between the stomach and the anus
snorted,indicate contempt by breathing noisily and forcefully through the nose
followed,"to travel behind, go after, come after"
huge,unusually great in size or amount or degree or especially extent or scope; ; ; ; ; ; ; ; ; - W.R.Inge
today,the present time or age
confess,"confess to a punishable or reprehensible deed, usually under pressure"
realize,be fully aware or cognizant of
rehash,old material that is slightly reworked and used again
nasty,offensive or even (of persons) malicious; ; ; ; ; ; - Ezra Pound
horse,solid-hoofed herbivorous quadruped domesticated since prehistoric times
tries,earnest and conscientious activity intended to do or accomplish something
know,the fact of being aware of information that is known to few people
walking,the act of traveling by foot
street,a thoroughfare (usually including sidewalks) that is lined with buildings
confront,"oppose, as in hostility or a competition"
guys,an informal term for a youth or man
scab,someone who works (or provides workers) during a strike
wondering,have a wish or desire to know something
thing,a special situation
bullets,a projectile that is fired from a gun
sorts,a category of things distinguished by some common characteristic or quality
dodged,make a sudden movement in a new direction so as to avoid
schoolboys,a boy attending school
asks,inquire about
tommy,unavailable
smiled,"change one's facial expression by spreading the lips, often to signal pleasure"
worked,exert oneself by doing mental or physical work for a purpose or out of necessity
hello,an expression of greeting
tuberculosis,infection transmitted by inhalation or ingestion of tubercle bacilli and manifested in fever and small lesions (usually in the lungs but in various other parts of the body in acute stages)
redder,of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies
scar,a mark left (usually on the skin) by the healing of injured tissue
possible,something that can be done
kind,a category of things distinguished by some common characteristic or quality
nonsense,a message that seems to convey no meaning
takes,the income or profit arising from such transactions as the sale of land or other property
pursuing,carry out or participate in an activity; be involved in
real,any rational or irrational number
criminals,someone who has committed a crime or has been legally convicted of a crime
quickly,with rapid movements
hearing,(law) a proceeding (usually by a court) where evidence is taken for the purpose of determining an issue of fact and reaching a decision based on that evidence
stop,the event of something ending
sit,be seated
russian,a native or inhabitant of Russia
charges,an impetuous rush toward someone or something
false,not in accordance with the fact or reality or actuality
communists,a member of the communist party
poison,any substance that causes injury or illness or death of a living organism
z,the ending of a series or sequence; --Revelation
bet,the money risked on a gamble
gestured,"show, express or direct through movement"
place,a point located with respect to surface features of some region
sent,100 senti equal 1 kroon in Estonia
injured,cause injuries or bodily harm to
shortly,for a short time
repeated,"to say, state, or perform again"
chairs,"a seat for one person, with a support for the back"
idea,the content of cognition; the main thing you are thinking about
exclaimed,"utter aloud; often with surprise, horror, or joy"
play,a dramatic work intended for performance by actors on a stage
carols,joyful religious song celebrating the birth of Christ
helped,give help or assistance; be of service
year,a period of time containing 365 (or 366) days
raised,raise the level or amount of something
send,cause to go somewhere
catholic,a member of a Catholic church
missions,an organization of missionaries in a foreign land sent to carry on religious work
world,everything that exists anywhere
magazine,a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it
sale,a particular instance of selling
house,a dwelling that serves as living quarters for one or more families
boys,a youthful male person
liberate,give equal rights to; of women and minorities
bunch,a grouping of a number of similar things
prove,be shown or be found to be
including,"have as a part, be made up out of"
question,an instance of questioning
drive,the act of applying force to propel something
begged,call upon in supplication; entreat
rid,relieve from
buy,an advantageous purchase
lessons,a unit of instruction
excuse,a defense of some offensive behavior or some failure to keep a promise etc.
college,the body of faculty and students of a college
boxes,a (usually rectangular) container; may have a lid
membership,the body of members of an organization or group
semester,one of two divisions of an academic year
path,a course of conduct
dark,absence of light or illumination
fully,to the greatest degree or extent; completely or entirely; (`full' in this sense is used as a combining form)
saving,an act of economizing; reduction in cost
route,an established line of travel or access
plan,a series of steps to be carried out or goals to be accomplished
card,one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes
perfect,a tense of verbs used in describing action that has been completed (sometimes regarded as perfective aspect)
local,public transport consisting of a bus or train that stops at all stations or stops
governments,the organization that is the governing authority of a political unit
countries,a politically organized body of people under a single government
grandson,a male grandchild
support,the activity of providing for or maintaining by supplying with money or necessities
needed,"require as useful, just, or proper"
fight,a hostile meeting of opposing military forces in the course of a war
crossed,travel across or pass over
good,benefit
spread,process or result of distributing or extending over a wide expanse of space
search,the activity of looking thoroughly in order to find something or someone
records,anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events
creep,someone unpleasantly strange or eccentric
slow,lose velocity; move more slowly
magazines,a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it
purchased,obtain by purchase; acquire by means of a financial transaction
families,a social unit living together
years,a late time of life
exactly,indicating exactness or preciseness
friendly,troops belonging to or allied with your own military forces
willing,the act of making a choice
holidays,leisure time away from work devoted to rest or pleasure
visited,"go to see a place, as for entertainment"
provided,give something useful or necessary to
supporter,a person who backs a politician or a team etc.
brainwash,"persuade completely, often through coercion"
happy,enjoying or showing or marked by joy or pleasure
race,any competition
save,(sports) the act of preventing the opposition from scoring
souls,the immaterial part of a person; the actuating cause of an individual life
poor,people without possessions or wealth (considered as a group)
godless,not revering god
bless,give a benediction to
remembered,recall knowledge from memory; have a recollection
soul,the immaterial part of a person; the actuating cause of an individual life
clasps,a fastener (as a buckle or hook) that is used to hold two things together
rusted,"become destroyed by water, air, or a corrosive such as an acid"
undid,"cancel, annul, or reverse an action or its effect"
carefully,taking care or paying attention
color,a visual attribute of things that results from the light they emit or transmit or reflect
rotten,very bad
dress,a one-piece garment for a woman; has skirt and bodice
shapeless,having no definite form or distinct shape
answered,react verbally
think,an instance of deliberate thinking
wearing,(geology) the mechanical process of wearing or grinding something down (as by particles washing over it)
party,an organization to gain political power
telegram,a message transmitted by telegraph
use,the act of using
evidence,your basis for belief or disbelief; knowledge on which to base belief
blushing,"turn red, as if in embarrassment or shame"
faded,become less clearly visible or distinguishable; disappear gradually or seemingly
mentioned,make reference to
budge,United States tennis player who in 1938 was the first to win the Australian and French and English and United States singles championship in the same year (1915-2000)
hundreds,ten 10s
teach,an English pirate who operated in the Caribbean and off the Atlantic coast of North America (died in 1718)
seamstress,someone who makes or mends dresses
subscriptions,a payment for consecutive issues of a newspaper or magazine for a given period of time
cards,a game played with playing cards
buttons,a round fastener sewn to shirts and coats etc to fit through buttonholes
