Word,Definition
wonderful,extraordinarily good or great ; used especially as intensifiers
carried,"move while supporting, either in a vehicle or in one's hands or on one's body"
plates,(baseball) base consisting of a rubber slab where the batter stands; it must be touched by a base runner in order to score
dining,the act of eating dinner
interested,excite the curiosity of; engage the interest of
room,an area within a building enclosed by walls and floor and ceiling
thought,the content of cognition; the main thing you are thinking about
schools,an educational institution
arguing,a contentious speech act; a dispute where there is strong disagreement
politicians,a leader engaged in civil administration
telling,an act of narration
run,a score in baseball made by a runner touching all four bases safely
beat,a regular route for a sentry or policeman
closed,move so that an opening or passage is obstructed; make shut
weeks,any period of seven consecutive days
know,the fact of being aware of information that is known to few people
family,a social unit living together
hour,a period of time equal to 1/24th of a day
hi,an expression of greeting
coming,the act of drawing spatially closer to something
sweetie,a person loved by another person
wore,be dressed in
dazzling,"to cause someone to lose clear vision, especially from intense light"
smile,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
transformed,subject to a mathematical transformation
nice,a city in southeastern France on the Mediterranean; the leading resort on the French Riviera
guy,an informal term for a youth or man
movie,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
star,(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior
better,something superior in quality or condition or effect
grinned,"to draw back the lips and reveal the teeth, in a smile, grimace, or snarl"
ground,the solid part of the earth's surface
picked,select carefully from a group
big,above average in size or number or quantity or magnitude or extent
fact,a piece of information about circumstances that exist or events that have occurred
maybe,by chance
organize,create (as an entity)
study,a detailed critical inspection
groups,any number of entities (members) considered as a unit
math,a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement
gave,"cause to have, in the abstract sense or physical sense"
hug,a tight or amorous embrace
looking,the act of directing the eyes toward something and perceiving it visually
invent,"come up with (an idea, plan, explanation, theory, or principle) after a mental effort"
bed,a piece of furniture that provides a place to sleep
wondering,have a wish or desire to know something
things,any movable possession (especially articles of clothing)
fooled,make a fool or dupe of
awful,exceptionally bad or displeasing
inside,the region that is inside of something
talking,an exchange of ideas via conversation
lay,a narrative song with a recurrent refrain
fun,activities that are enjoyable or amusing
lint,fine ravellings of cotton or linen fibers
piece,a separate part of a whole
naturally,as might be expected
mean,an average of n numbers computed by adding some function of the numbers and dividing by some function of n
sweater,a crocheted or knitted garment covering the upper part of the body
bragging,an instance of boastful talk
seen,perceive by sight or have the power to perceive by sight
fine,money extracted as a penalty
believe,accept as true; take to be true
pulled,cause to move by pulling
small,the slender part of the back
green,green color or pigment; resembling the color of growing grass
turtles,a sweater or jersey with a high close-fitting collar
bag,a flexible container with a single opening
placed,put into a certain place or abstract location
feather,the light horny waterproof structure forming the external covering of birds
carefully,taking care or paying attention
bottle,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped
pocket,a small pouch inside a garment for carrying small articles
reached,"reach a destination, either real or abstract"
late,being or occurring at an advanced period of time or after a usual or expected time
imagine,form a mental image of something that is not present or that is not the case
people,(plural) any group of human beings (men or women or children) collectively
book,a written work or composition that has been published (printed on pages bound together)
underwear,undergarment worn next to the skin and under the outer garments
old,past times (especially in the phrase `in days of old')
prime,a number that has no factor but itself and 1
numbers,the fourth book of the Old Testament; contains a record of the number of Israelites who followed Moses out of Egypt
sorry,feeling or expressing regret or sorrow or a sense of loss over something done or undone
square,(geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon
magic,any art that invokes supernatural powers
bring,take something or somebody with oneself somewhere
heart,the locus of feelings and intuitions
yes,an affirmative
fast,abstaining from food
election,a vote to select the winner of a position or political office
bad,that which is below standard or expectations as of ethics or decency
mood,a characteristic (habitual or relatively temporary) state of feeling
thinking,the process of using your mind to consider something carefully
smaller,small or little relative to something else
colored,a United States term for Blacks that is now considered offensive
person,a human being
talked,exchange thoughts; talk with
drinking,the act of consuming liquids
glass,a brittle transparent solid with irregular atomic structure
tea,a beverage made by steeping tea leaves in water
conversation,the use of speech for informal exchange of views or ideas or information etc.
tried,make an effort or attempt
picture,a visual representation (of an object or scene or person or abstraction) produced on a surface
year,a period of time containing 365 (or 366) days
girl,a young woman
kept,"keep in a certain state, position, or activity; e.g.,"
imagining,form a mental image of something that is not present or that is not the case
version,an interpretation of a matter from a particular viewpoint
flowered,produce or yield flowers
soon,in the near future
weekend,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday
presentation,the activity of formally presenting something (as a prize or reward)
asleep,in a state of sleep
apron,a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing
think,an instance of deliberate thinking
idea,the content of cognition; the main thing you are thinking about
whites,a member of the Caucasoid race
cold,a mild viral infection involving the nose and respiratory passages (but not the lungs)
voted,express one's preference for a candidate or for a measure or resolution; cast a vote
ways,structure consisting of a sloping way down to the water from the place where ships are built or repaired
taught,impart skills or knowledge to
relax,"become less tense, rest, or take one's ease"
actually,in actual fact
time,an instance or single occasion for some event
appeared,give a certain impression or have a certain outward aspect
practice,a customary way of operation or behavior
waved,signal with the hands or nod
air,a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of
stood,be standing; be upright
second,1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites
thing,a special situation
morning,the time period between dawn and noon
cleaned,"make clean by removing dirt, filth, or unwanted substances from"
house,a dwelling that serves as living quarters for one or more families
rule,a principle or condition that customarily governs behavior
giving,the act of giving
cleaning,the act of making something clean
ran,"move fast by using one's feet, with one foot off the ground at any given time"
meet,a meeting at which a number of athletic contests are held
question,an instance of questioning
large,a garment size for a large person
cowgirl,a woman cowboy
sit,be seated
stopped,"come to a halt, stop moving"
riding,the sport of siting on the back of a horse while controlling its movements
sunset,the time in the evening at which the sun begins to fall below the horizon
answer,a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
plucked,pull or pull out sharply
cards,a game played with playing cards
hands,(with `in') guardianship over; in divorce cases it is the right to house and care for and discipline a child
ridden,"sit and travel on the back of animal, usually while controlling its motions"
horse,solid-hoofed herbivorous quadruped domesticated since prehistoric times
twice,two times
camp,temporary living quarters specially built by the army for soldiers
seven,the cardinal number that is the sum of six and one
crush,leather that has had its grain pattern accentuated
students,a learner who is enrolled in an educational institution
scary,provoking fear terror
scratched,cause friction
nose,the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals
wide,having great (or a certain) extent from one side to the other
brown,an orange of low brightness and saturation
thrilling,cause to be thrilled by some perceptual input
jewel,a precious or semiprecious stone incorporated into a piece of jewelry
secret,something that should remain hidden from others (especially information that is not to be passed on)
given,an assumption that is taken for granted
teenagers,a juvenile between the onset of puberty and maturity
dates,the specified day of the month
sneak,a person who is regarded as underhanded and furtive and contemptible
drink,a single serving of a beverage
beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
lions,large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
thirty,the cardinal number that is the product of ten and three
algebra,the mathematics of generalized arithmetical operations
saddle,a seat for the rider of a horse or camel
headed,to go or travel towards
quarry,a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence
natured,unavailable
stupid,a person who is not very bright
kids,a young person of either sex
course,education imparted in a series of lessons or meetings
instead,"in place of, or as an alternative to"
apples,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
handed,place into the hands or custody of
shook,a disassembled barrel; the parts packed for storage or shipment
head,the upper part of the human body or the front part of the body in animals; contains the face and brains
held,"keep in a certain state, position, or activity; e.g.,"
stepped,shift or move by taking a step
slid,"move obliquely or sideways, usually in an uncontrolled manner"
rubbed,move over something with pressure
waited,stay in one place and anticipate or expect something
gift,something acquired without compensation
tv,broadcasting visual images of stationary or moving objects; ;  - Ernie Kovacs
evening,the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
half,one of two equal parts of a divisible whole
heard,perceive (sound) via the auditory sense
brightest,emitting or reflecting light readily or in large amounts
tight,closely constrained or constricted or constricting
living,the experience of being alive; the course of human events and activities
holding,the act of retaining something
wrapped,arrange or fold as a cover or protection
handkerchief,a square piece of cloth used for wiping the eyes or nose or as a costume accessory
brother,a male with the same parents as someone else
cars,a motor vehicle with four wheels; usually propelled by an internal combustion engine
signs,a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
windows,(trademark) an operating system with a graphical user interface
look,the feelings expressed on a person's face
channel,a path over which electrical signals can pass
man,an adult person who is male (as opposed to a woman)
rocks,a lump or mass of hard consolidated mineral matter
collect,a short prayer generally preceding the lesson in the Church of Rome or the Church of England
place,a point located with respect to surface features of some region
mainly,for the most part
shallow,a stretch of shallow water
pond,a small lake
quietly,with low volume
hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning
walked,use one's feet to advance; advance by steps
slowly,without speed (`slow' is sometimes used informally for `slowly')
boulder,a large smooth mass of rock detached from its place of origin
yelled,utter a sudden loud cry
lives,a characteristic state or mode of living
rock,a lump or mass of hard consolidated mineral matter
feel,an intuitive awareness;  or
crusher,a device that crushes something
chattered,click repeatedly or uncontrollably
broadcasting,a medium that disseminates via telecommunications
fingertip,the end (tip) of a finger
leaned,to incline or bend from a vertical position
yelling,uttering a loud inarticulate cry as of pain or excitement
horns,a noisemaker (as at parties or games) that makes a loud noise when you blow through it
honking,make a loud noise
caught,"discover or come upon accidentally, suddenly, or unexpectedly; catch somebody doing something or in a certain state"
arm,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
integration,the action of incorporating a racial or religious group into a community
communism,a form of socialism that abolishes private ownership
final,the final match between the winners of all previous matches in an elimination tournament
drop,a shape that is spherical and small
blood,"the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets"
oozed,pass gradually or leak through or as if through small openings
window,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air
fiddling,avoid (one's assigned duties)
principal,the original amount of a debt on which interest is calculated
continued,"continue a certain state, condition, or activity"
voice,the distinctive quality or pitch or condition of a person's speech
lowered,move something or somebody to a lower position
forward,"the person who plays the position of forward in certain games, such as basketball, soccer, or hockey"
saw,a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
mother,a woman who has given birth to a child (also used as a term of address to your mother)
attention,the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others
withdrawn,pull back or move away or backward
loaned,give temporarily; let have for a limited time
red,red color or pigment; the chromatic color resembling the hue of blood
bright,emitting or reflecting light readily or in large amounts
turned,"change orientation or direction, also in the abstract sense"
marry,take in marriage
peacock,European butterfly having reddish-brown wings each marked with a purple eyespot
preening,clean with one's bill
stroking,a light touch with the hands
bus,a vehicle carrying many passengers; used for public transport
whispered,speak softly; in a low voice
hairbrush,a brush used to groom a person's hair
week,any period of seven consecutive days
homeroom,a classroom in which all students in a particular grade (or in a division of a grade) meet at certain times under the supervision of a teacher who takes attendance and does other administrative business
yep,unavailable
agreed,be in accord; be in agreement
homework,preparatory school work done outside school (especially at home)
problems,a state of difficulty that needs to be resolved
called,assign a specified (usually proper) proper name to
wrong,that which is contrary to the principles of justice or law
scattered,to cause to separate and go in different directions
assignment,a duty that you are assigned to perform (especially in the armed forces)
mats,a thick flat pad used as a floor covering
nicely,in a nice way
woven,interlace by or as if by weaving
picnic,a day devoted to an outdoor social gathering
table,a set of data arranged in rows and columns
daddy,an informal term for a father; probably derived from baby talk
dropped,let fall to the ground
monkey,any of various long-tailed primates (excluding the prosimians)
confused,mistake one thing for another
grinning,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
sounded,appear in a certain way
worry,something or someone that causes anxiety; a source of unhappiness
slept,be asleep
beans,any of various edible seeds of plants of the family Leguminosae used for food
paused,interrupt temporarily an activity before continuing
paying,"give money, usually in exchange for goods or services"
hallway,an interior passage or corridor onto which rooms open
word,a unit of language that native speakers can identify
hall,an interior passage or corridor onto which rooms open
step,any maneuver made as part of progress toward a goal
marlee,unavailable
throat,the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone
cleared,rid of obstructions
moment,a particular point in time
squash,any of numerous annual trailing plants of the genus Cucurbita grown for their fleshy edible fruits
corn,tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
planted,"put or set (seeds, seedlings, or plants) into the ground"
crops,the yield from plants in a single growing season
explaining,make plain and comprehensible
went,"change location; move, travel, or proceed, also metaphorically"
shushed,silence (someone) by uttering `shush!'
speechless,temporarily incapable of speaking
raised,raise the level or amount of something
surprised,cause to be surprised
flipped,lightly throw to see which side comes up
smoked,"inhale and exhale smoke from cigarettes, cigars, pipes"
peace,the state prevailing during the absence of war
pipe,a tube with a small bowl at one end; used for smoking tobacco
shy,a quick throw
football,any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal
talk,an exchange of ideas via conversation
class,a collection of things sharing a common attribute
indian,a member of the race of people living in America when Europeans arrived
headdress,clothing for the head
definitely,without question and beyond doubt
doable,capable of existing or taking place or proving true; possible to do
month,one of the twelve divisions of the calendar year
ago,gone by; or in the past
dead,people who are no longer living
away,not present; having left
days,the time during which someone's life continues
write,produce a literary work
turn,a circular segment of a curve
maid,a female domestic
sick,people who are sick
fainted,"pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain"
squealed,"utter a high-pitched cry, characteristic of pigs"
breathed,"draw air into, and expel out of, the lungs"
kidding,tell false information to for fun
long,desire strongly or persistently
lasts,the temporal end; the concluding time
glasses,optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision
peering,look searchingly
reported,to give an account or representation of in words
cousin,the child of your aunt or uncle
neck,the part of an organism (human or animal) that connects the head to the rest of the body
giraffe,tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa
stomach,an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
tribes,a social division of (usually preliterate) people
lived,inhabit or live in; be an inhabitant of
near,move towards
river,a large natural stream of water (larger than a creek)
french,the Romance language spoken in France and in countries colonized by France
explorers,someone who travels into little known regions (especially for some scientific purpose)
came,"move toward, travel toward something or somebody or approach something or somebody"
flu,an acute febrile highly contagious viral disease
returning,"go or come back to place, condition, or activity where one has been before"
tell,a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap)
afraid,filled with fear or apprehension
braids,a hairdo formed by braiding or twisting the hair
report,a written document describing the findings of some individual or group
home,where you live at a particular time
determined,"establish after a calculation, investigation, experiment, survey, or study"
pick,the person or thing chosen or selected
true,proper alignment; the property possessed by something that is in correct or proper alignment
stuck,"put, fix, force, or implant"
counted,determine the number or amount of
baptist,follower of Baptistic doctrines
church,one of the groups of Christians who have their own beliefs and forms of worship
careful,exercising caution or showing care or attention
glance,a quick look
mirror,polished surface that forms images by reflecting light
real,any rational or irrational number
bell,a hollow device made of metal that makes a ringing sound when struck
outside,the region that is outside of something
pop,an informal term for a father; probably derived from baby talk
confidence,freedom from doubt; belief in yourself and your abilities
gone,"change location; move, travel, or proceed, also metaphorically"
black,the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
leave,the period of time during which you are absent from work or duty
rang,sound loudly and sonorously
lunch,a midday meal
ill,an often persistent bodily disorder or disease; a cause for complaining
lips,either of two fleshy folds of tissue that surround the mouth and play a role in speaking
tighter,closely constrained or constricted or constricting
oh,a midwestern state in north central United States in the Great Lakes region
best,the supreme effort one can make
tired,lose interest or become bored with something or somebody
wait,time during which some action is awaited
needed,"require as useful, just, or proper"
kitchen,a room equipped for preparing meals
remembered,recall knowledge from memory; have a recollection
tutoring,be a tutor to someone; give individual instruction
session,a meeting for execution of a group's functions
feeling,the experiencing of affective and emotional states
afternoon,the part of the day between noon and evening
pursed,contract one's lips into a rounded shape
getting,the act of acquiring something
story,a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
calmed,make calm or still
face,the front of the human head from the forehead to the chin and ear to ear
puzzled,be a mystery or bewildering to
poked,poke or thrust abruptly
okay,an endorsement
straight,a heterosexual person; someone having a sexual orientation to persons of the opposite sex
racing,the sport of engaging in contests of speed
remembering,the cognitive processes whereby past experience is remembered
opened,cause to open or to become open
mouth,the opening through which food is taken in and vocalizations emerge
light,(physics) electromagnetic radiation that can produce a visual sensation
skinned,"climb awkwardly, as if by scrambling"
pretending,the act of giving a false appearance
white,a member of the Caucasoid race
lying,the deliberate act of deviating from the truth
angry,feeling or showing anger
sunlight,the rays of the sun
saying,a word or phrase that particular people use in particular situations
hearing,(law) a proceeding (usually by a court) where evidence is taken for the purpose of determining an issue of fact and reaching a decision based on that evidence
cut,a share of the profits
blueberry,any of numerous shrubs of the genus Vaccinium bearing blueberries
teeth,the kind and number and arrangement of teeth (collectively) in a person or animal
expecting,regard something as probable or likely
today,the present time or age
toss,the act of flipping a coin
asking,the verbal act of requesting
realize,be fully aware or cognizant of
brushing,the act of brushing your teeth
pieces,a separate part of a whole
left,location near or direction toward the left side; i.e. the side to the north when a person or object faces east
pie,dish baked in pastry-lined pan often with a pastry top
hope,a specific instance of feeling hopeful
lucky,occurring by chance
injuries,any physical damage to the body caused by violence or accident or fracture etc.
heal,heal or recover
crawled,move slowly; in the case of people or animals with the body near the ground
delicious,variety of sweet eating apples
chicken,the flesh of a chicken used for food
guts,fortitude and determination
funny,an account of an amusing incident (usually with a punch line)
helpless,lacking in or deprived of strength or power
praying,"address a deity, a prophet, a saint or an object of worship; say a prayer"
hard,not easy; requiring great physical or mental effort to accomplish or comprehend or endure
dinner,the main meal of the day served in the evening or at midday
life,a characteristic state or mode of living
guess,a message expressing an opinion based on incomplete evidence
glanced,throw a glance at; take a brief look at
poured,cause to run
sweet,English phonetician; one of the founders of modern phonetics (1845-1912)
stuffing,a mixture of seasoned ingredients used to stuff meats and vegetables
line,a formation of people or things one beside another
moist,slightly wet
pass,(baseball) an advance to first base by a batter who receives four balls
try,earnest and conscientious activity intended to do or accomplish something
worried,"be worried, concerned, anxious, troubled, or uneasy"
kindly,showing or motivated by sympathy and understanding and generosity
expelled,force to leave or move out
protect,"shield from danger, injury, destruction, or damage"
soldiers,an enlisted man or woman who serves in an army
settled,"settle into a position, usually on a surface or ground"
kill,the act of terminating a life
club,a team of professional baseball players who play and travel together
calling,the particular occupation for which you are trained
danger,the condition of being susceptible to harm or injury
means,how a result is obtained or an end is achieved
stay,continuing or remaining in a place or state
youngest,(used of living things especially persons) in an early period of life or development or growth
let,a brutal terrorist group active in Kashmir; fights against India with the goal of restoring Islamic rule of India
outspoken,given to expressing yourself freely or insistently
hear,perceive (sound) via the auditory sense
oatmeal,porridge made of rolled oats
spoonfuls,as much as a spoon will hold
nodded,express or signify by nodding
certain,definite but not specified or identified
realized,be fully aware or cognizant of
scowled,frown with displeasure
want,a state of extreme poverty
wo,unavailable
walk,the act of traveling by foot
clever,showing self-interest and shrewdness in dealing with others
group,any number of entities (members) considered as a unit
women,an adult female person (as opposed to a man)
votes,a choice that is made by counting the number of people in favor of each alternative
page,one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains
article,nonfictional prose forming an independent part of a publication
door,a swinging or sliding barrier that will close the entrance to a room or building or vehicle
members,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
snowed,fall as snow
associated,make a logical or causal connection
actor,a theatrical performer
graduation,the successful completion of a program of study
tickets,a commercial document showing that the holder is entitled to something (as to ride on public transportation or to enter a public entertainment)
ready,poised for action
opinions,a personal belief or judgment that is not founded on proof or certainty
police,the force of policemen and officers
reason,a rational motive for a belief or action
husband,a married man; a woman's partner in marriage
member,one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
oppose,be against; express opposition to
formed,create (as an entity)
clutched,take hold of; grab
able,(usually followed by `to') having the necessary means or skill or know-how or authority to do something
wheel,a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)
world,everything that exists anywhere
filled,"make full, also in a metaphorical sense"
hate,the emotion of intense dislike; a feeling of dislike so strong that it demands action
woke,"be awake, be alert, be there"
speak,express in speech
signed,mark with one's signature; write one's name (on)
steering,the act of guiding or showing the way
invited,increase the likelihood of
upset,an unhappy and worried mental state
remember,recall knowledge from memory; have a recollection
cry,a loud utterance; often in protest or opposition
minister,a person authorized to conduct religious worship
older,advanced in years; (`aged' is pronounced as two syllables)
avowed,to declare or affirm solemnly and formally as true
purpose,an anticipated outcome that is intended or that guides your planned actions
support,the activity of providing for or maintaining by supplying with money or necessities
segregation,(genetics) the separation of paired alleles during meiosis so that members of each pair of alleles appear in different gametes
pictures,a visual representation (of an object or scene or person or abstraction) produced on a surface
case,an occurrence of something
knuckles,a small metal weapon; worn over the knuckles on the back of the hand
ears,the sense organ for hearing and equilibrium
trying,make an effort or attempt
order,"(often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed"
news,information about recent and important events
fat,a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides)
blond,a person with fair skin and hair
caterpillars,a wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth
wriggling,"to move in a twisting or contorted motion, (especially when struggling)"
spoke,support consisting of a radial member of a wheel joining the hub to the rim
missed,fail to perceive or to catch with the senses or the mind
parents,a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian
eyebrows,the arch of hair above each eye
crooked,bend or cause to bend
swing,a state of steady vigorous action that is characteristic of an activity
lock,a fastener fitted to a door or drawer to keep it firmly closed
tower,a structure taller than its diameter; can stand alone or be attached to a larger building
classroom,a room in a school where lessons take place
appears,give a certain impression or have a certain outward aspect
ideal,the idea of something that is perfect; something that one hopes to attain
explained,make plain and comprehensible
starting,a turn to be a starter (in a game at the beginning)
hissed,"make a sharp hissing sound, as if to show disapproval"
car,a motor vehicle with four wheels; usually propelled by an internal combustion engine
water,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent
splashed,"cause (a liquid) to spatter about, especially with force"
sink,plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
crying,the process of shedding tears (usually accompanied by sobs or other inarticulate sounds)
stalls,a farm building for housing horses or other livestock
sitting,(photography) the act of assuming a certain position (as for a photograph or portrait)
remain,stay the same; remain in a certain state
interrupted,make a break in
live,inhabit or live in; be an inhabitant of
confusion,disorder resulting from a failure to behave predictably
mother’d,unavailable
indefinitely,to an indefinite extent; for an indefinite time
private,an enlisted man of the lowest rank in the Army or Marines
insisted,be emphatic or resolute and refuse to budge
stared,look at with fixed eyes
leaving,the act of departing
ruining,destruction achieved by causing something to be wrecked or ruined
thank,express gratitude or show appreciation to
papers,writing that provides information (especially information of an official nature)
desk,a piece of furniture with a writing surface and usually drawers or other compartments
approach,ideas or actions intended to deal with a problem or situation
opposite,"a word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms of each other"
taken,carry out
grading,the act of arranging in a graduated series
choice,the person or thing chosen or selected
