chapter_number,chapter_title,tokens,pos,lemma,tag,dep,sentence,title,ent_word,ent_label
Chapter 3,The Doomsday Journal,laugh,VERB,laugh,VB,ccomp,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,,
Chapter 3,The Doomsday Journal,afraid,ADJ,afraid,JJ,acomp,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,,
Chapter 3,The Doomsday Journal,getting,AUX,getting,VBG,auxpass,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,,
Chapter 3,The Doomsday Journal,lost,VERB,lose,VBN,pcomp,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,,
Chapter 3,The Doomsday Journal,covered,VERB,cover,VBN,conj,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,,
Chapter 3,The Doomsday Journal,rainbow,NOUN,rainbow,NN,compound,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,,
Chapter 3,The Doomsday Journal,diary,NOUN,diary,NN,pobj,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,,
Chapter 3,The Doomsday Journal,known,VERB,know,VBN,advcl,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,,
Chapter 3,The Doomsday Journal,Doomsday,PROPN,doomsday,NNP,compound,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,,
Chapter 3,The Doomsday Journal,Journal,PROPN,journal,NNP,pobj,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,,
Chapter 3,The Doomsday Journal,2,NUM,2,CD,nummod,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,2,MONEY
Chapter 3,The Doomsday Journal,page,NOUN,page,NN,pobj,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,,
Chapter 3,The Doomsday Journal,47,NUM,47,CD,nummod,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,47,CARDINAL
Chapter 3,The Doomsday Journal,DJ,NOUN,dj,NN,appos,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,,
Chapter 3,The Doomsday Journal,p.,NOUN,p.,NN,npadvmod,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,,
Chapter 39,"So Long, Farewell, auf Wiedersehen, Adieu",14,NUM,14,CD,nummod,"14, 15, and 238), and she leaves Vienna on August 17 (per p. 222)",,14,CARDINAL
Chapter 39,"So Long, Farewell, auf Wiedersehen, Adieu",15,NUM,15,CD,ROOT,"14, 15, and 238), and she leaves Vienna on August 17 (per p. 222)",,15,DATE
Chapter 39,"So Long, Farewell, auf Wiedersehen, Adieu",238,NUM,238,CD,conj,"14, 15, and 238), and she leaves Vienna on August 17 (per p. 222)",,238,CARDINAL
Chapter 39,"So Long, Farewell, auf Wiedersehen, Adieu",leaves,VERB,leave,VBZ,conj,"14, 15, and 238), and she leaves Vienna on August 17 (per p. 222)",,,
Chapter 39,"So Long, Farewell, auf Wiedersehen, Adieu",Vienna,PROPN,vienna,NNP,dobj,"14, 15, and 238), and she leaves Vienna on August 17 (per p. 222)",,Vienna,GPE
Chapter 39,"So Long, Farewell, auf Wiedersehen, Adieu",August,PROPN,august,NNP,pobj,"14, 15, and 238), and she leaves Vienna on August 17 (per p. 222)",,August 17,DATE
Chapter 39,"So Long, Farewell, auf Wiedersehen, Adieu",17,NUM,17,CD,nummod,"14, 15, and 238), and she leaves Vienna on August 17 (per p. 222)",,August 17,DATE
Chapter 39,"So Long, Farewell, auf Wiedersehen, Adieu",p.,NOUN,p.,NN,pobj,"14, 15, and 238), and she leaves Vienna on August 17 (per p. 222)",,,
Chapter 39,"So Long, Farewell, auf Wiedersehen, Adieu",222,NUM,222,CD,nummod,"14, 15, and 238), and she leaves Vienna on August 17 (per p. 222)",,222,CARDINAL
Chapter 1,I Have (Not So Much) Confidence,point,NOUN,point,NN,nsubj,"
    The point is, I wanted to go visit my father in Austria.",,,
Chapter 1,I Have (Not So Much) Confidence,wanted,VERB,want,VBD,ccomp,"
    The point is, I wanted to go visit my father in Austria.",,,
Chapter 1,I Have (Not So Much) Confidence,visit,VERB,visit,VB,advcl,"
    The point is, I wanted to go visit my father in Austria.",,,
Chapter 1,I Have (Not So Much) Confidence,father,NOUN,father,NN,dobj,"
    The point is, I wanted to go visit my father in Austria.",,,
Chapter 1,I Have (Not So Much) Confidence,Austria,PROPN,austria,NNP,pobj,"
    The point is, I wanted to go visit my father in Austria.",,Austria,GPE
Chapter 1,I Have (Not So Much) Confidence,flying,VERB,fly,VBG,ROOT,"
    She was flying to Austria with me.",,,
Chapter 1,I Have (Not So Much) Confidence,Austria,PROPN,austria,NNP,pobj,"
    She was flying to Austria with me.",,Austria,GPE
Chapter 1,I Have (Not So Much) Confidence,me,PRON,i,PRP,pobj,"
    She was flying to Austria with me.",,,
Chapter 1,I Have (Not So Much) Confidence,Austria,PROPN,austria,NNP,ROOT,Austria.,,Austria,GPE
Chapter 2,Pancakes and Peanut Butter,Vienna,PROPN,vienna,NNP,ROOT,"“Vienna, Austria.”",,Vienna,GPE
Chapter 2,Pancakes and Peanut Butter,Austria,PROPN,austria,NNP,appos,"“Vienna, Austria.”",,Austria,GPE
Chapter 2,Pancakes and Peanut Butter,Hitler,PROPN,hitler,NNP,nsubj,Hitler was also from Austria.”,,Hitler,PERSON
Chapter 2,Pancakes and Peanut Butter,Austria,PROPN,austria,NNP,pobj,Hitler was also from Austria.”,,Austria,GPE
Chapter 2,Pancakes and Peanut Butter,Maria,PROPN,maria,NNP,compound,"
    “Maria von Trapp was from Austria.”",,Maria von Trapp,PERSON
Chapter 2,Pancakes and Peanut Butter,von,PROPN,von,NNP,compound,"
    “Maria von Trapp was from Austria.”",,Maria von Trapp,PERSON
Chapter 2,Pancakes and Peanut Butter,Trapp,PROPN,trapp,NNP,nsubj,"
    “Maria von Trapp was from Austria.”",,Maria von Trapp,PERSON
Chapter 2,Pancakes and Peanut Butter,Austria,PROPN,austria,NNP,pobj,"
    “Maria von Trapp was from Austria.”",,Austria,GPE
Chapter 5,The Welcoming Committee,completely,ADV,completely,RB,advmod,You’re completely safe in Austria.,,,
Chapter 5,The Welcoming Committee,safe,ADJ,safe,JJ,acomp,You’re completely safe in Austria.,,,
Chapter 5,The Welcoming Committee,Austria,PROPN,austria,NNP,pobj,You’re completely safe in Austria.,,Austria,GPE
Chapter 7,The Honor System,supposed,VERB,suppose,VBN,ROOT,What are you supposed to do in Austria if someone tries to break into your house?,,,
Chapter 7,The Honor System,Austria,PROPN,austria,NNP,pobj,What are you supposed to do in Austria if someone tries to break into your house?,,Austria,GPE
Chapter 7,The Honor System,tries,VERB,try,VBZ,advcl,What are you supposed to do in Austria if someone tries to break into your house?,,,
Chapter 7,The Honor System,break,VERB,break,VB,xcomp,What are you supposed to do in Austria if someone tries to break into your house?,,,
Chapter 7,The Honor System,house,NOUN,house,NN,pobj,What are you supposed to do in Austria if someone tries to break into your house?,,,
Chapter 8,Aïda,Practically,ADV,practically,RB,advmod,Practically every house in Austria seemed to have window boxes.,,,
Chapter 8,Aïda,house,NOUN,house,NN,nsubj,Practically every house in Austria seemed to have window boxes.,,,
Chapter 8,Aïda,Austria,PROPN,austria,NNP,pobj,Practically every house in Austria seemed to have window boxes.,,Austria,GPE
Chapter 8,Aïda,window,NOUN,window,NN,compound,Practically every house in Austria seemed to have window boxes.,,,
Chapter 8,Aïda,boxes,NOUN,box,NNS,dobj,Practically every house in Austria seemed to have window boxes.,,,
Chapter 8,Aïda,old,ADJ,old,JJ,amod,"Except for that one old movie Dad had made me watch, I’d done nothing to learn about Austria.",,,
Chapter 8,Aïda,movie,NOUN,movie,NN,pobj,"Except for that one old movie Dad had made me watch, I’d done nothing to learn about Austria.",,,
Chapter 8,Aïda,Dad,PROPN,dad,NNP,nsubj,"Except for that one old movie Dad had made me watch, I’d done nothing to learn about Austria.",,Dad,PERSON
Chapter 8,Aïda,me,PRON,i,PRP,nsubj,"Except for that one old movie Dad had made me watch, I’d done nothing to learn about Austria.",,,
Chapter 8,Aïda,watch,VERB,watch,VB,ccomp,"Except for that one old movie Dad had made me watch, I’d done nothing to learn about Austria.",,,
Chapter 8,Aïda,learn,VERB,learn,VB,relcl,"Except for that one old movie Dad had made me watch, I’d done nothing to learn about Austria.",,,
Chapter 8,Aïda,Austria,PROPN,austria,NNP,pobj,"Except for that one old movie Dad had made me watch, I’d done nothing to learn about Austria.",,Austria,GPE
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",German,PROPN,german,NNP,pobj,"In German, Austria is Österreich.",,German,NORP
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",Austria,PROPN,austria,NNP,nsubj,"In German, Austria is Österreich.",,Austria,GPE
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",Österreich,PROPN,österreich,NNP,attr,"In German, Austria is Österreich.",,Österreich,GPE
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",E,NOUN,e,NN,nsubj,"“And E is the fifth letter of the alphabet, so O5 stands for Austria.”",,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",fifth,ADJ,fifth,JJ,amod,"“And E is the fifth letter of the alphabet, so O5 stands for Austria.”",,fifth,ORDINAL
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",letter,NOUN,letter,NN,attr,"“And E is the fifth letter of the alphabet, so O5 stands for Austria.”",,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",alphabet,NOUN,alphabet,NN,pobj,"“And E is the fifth letter of the alphabet, so O5 stands for Austria.”",,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",O5,PROPN,o5,NNP,nsubj,"“And E is the fifth letter of the alphabet, so O5 stands for Austria.”",,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",stands,VERB,stand,VBZ,ROOT,"“And E is the fifth letter of the alphabet, so O5 stands for Austria.”",,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",Austria,PROPN,austria,NNP,pobj,"“And E is the fifth letter of the alphabet, so O5 stands for Austria.”",,Austria,GPE
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",took,VERB,take,VBD,ROOT,It took me a minute to realize a Quarter Pounder was called a Hamburger Royal in Austria.,,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",me,PRON,i,PRP,dobj,It took me a minute to realize a Quarter Pounder was called a Hamburger Royal in Austria.,,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",minute,NOUN,minute,NN,dobj,It took me a minute to realize a Quarter Pounder was called a Hamburger Royal in Austria.,,a minute,TIME
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",realize,VERB,realize,VB,relcl,It took me a minute to realize a Quarter Pounder was called a Hamburger Royal in Austria.,,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",Quarter,PROPN,quarter,NNP,compound,It took me a minute to realize a Quarter Pounder was called a Hamburger Royal in Austria.,,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",Pounder,PROPN,pounder,NNP,nsubjpass,It took me a minute to realize a Quarter Pounder was called a Hamburger Royal in Austria.,,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",called,VERB,call,VBN,ccomp,It took me a minute to realize a Quarter Pounder was called a Hamburger Royal in Austria.,,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",Hamburger,PROPN,hamburger,NNP,compound,It took me a minute to realize a Quarter Pounder was called a Hamburger Royal in Austria.,,a Hamburger Royal,ORG
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",Royal,PROPN,royal,NNP,oprd,It took me a minute to realize a Quarter Pounder was called a Hamburger Royal in Austria.,,a Hamburger Royal,ORG
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",Austria,PROPN,austria,NNP,pobj,It took me a minute to realize a Quarter Pounder was called a Hamburger Royal in Austria.,,Austria,GPE
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",parents,NOUN,parent,NNS,nsubj,"
    “My parents came to Austria five years ago to open a gelato shop,” Marco explained.",,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",came,VERB,come,VBD,ccomp,"
    “My parents came to Austria five years ago to open a gelato shop,” Marco explained.",,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",Austria,PROPN,austria,NNP,pobj,"
    “My parents came to Austria five years ago to open a gelato shop,” Marco explained.",,Austria,GPE
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",years,NOUN,year,NNS,npadvmod,"
    “My parents came to Austria five years ago to open a gelato shop,” Marco explained.",,five years ago,DATE
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",ago,ADV,ago,RB,advmod,"
    “My parents came to Austria five years ago to open a gelato shop,” Marco explained.",,five years ago,DATE
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",open,VERB,open,VB,advcl,"
    “My parents came to Austria five years ago to open a gelato shop,” Marco explained.",,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",gelato,NOUN,gelato,NN,compound,"
    “My parents came to Austria five years ago to open a gelato shop,” Marco explained.",,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",shop,NOUN,shop,NN,dobj,"
    “My parents came to Austria five years ago to open a gelato shop,” Marco explained.",,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",Marco,PROPN,marco,NNP,nsubj,"
    “My parents came to Austria five years ago to open a gelato shop,” Marco explained.",,Marco,PERSON
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",explained,VERB,explain,VBD,ROOT,"
    “My parents came to Austria five years ago to open a gelato shop,” Marco explained.",,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",Austria,PROPN,austria,NNP,pobj,in Austria they trust people to pay for a bus ticket but not to throw away their own trash correctly?”,,Austria,GPE
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",trust,VERB,trust,VBP,ROOT,in Austria they trust people to pay for a bus ticket but not to throw away their own trash correctly?”,,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",people,NOUN,people,NNS,dobj,in Austria they trust people to pay for a bus ticket but not to throw away their own trash correctly?”,,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",pay,VERB,pay,VB,xcomp,in Austria they trust people to pay for a bus ticket but not to throw away their own trash correctly?”,,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",bus,NOUN,bus,NN,compound,in Austria they trust people to pay for a bus ticket but not to throw away their own trash correctly?”,,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",ticket,NOUN,ticket,NN,pobj,in Austria they trust people to pay for a bus ticket but not to throw away their own trash correctly?”,,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",throw,VERB,throw,VB,conj,in Austria they trust people to pay for a bus ticket but not to throw away their own trash correctly?”,,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",away,ADV,away,RB,advmod,in Austria they trust people to pay for a bus ticket but not to throw away their own trash correctly?”,,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",trash,NOUN,trash,NN,dobj,in Austria they trust people to pay for a bus ticket but not to throw away their own trash correctly?”,,,
Chapter 9,"The Streetcar, the Cathedral, and the Royal Hamburger",correctly,ADV,correctly,RB,advmod,in Austria they trust people to pay for a bus ticket but not to throw away their own trash correctly?”,,,
Chapter 10,The Riesenrad,looked,VERB,look,VBD,ROOT,I’d looked up the safety statistics on Austria when Dad had first moved here.,,,
Chapter 10,The Riesenrad,safety,NOUN,safety,NN,compound,I’d looked up the safety statistics on Austria when Dad had first moved here.,,,
Chapter 10,The Riesenrad,statistics,NOUN,statistic,NNS,dobj,I’d looked up the safety statistics on Austria when Dad had first moved here.,,,
Chapter 10,The Riesenrad,Austria,PROPN,austria,NNP,pobj,I’d looked up the safety statistics on Austria when Dad had first moved here.,,Austria,GPE
Chapter 10,The Riesenrad,Dad,PROPN,dad,NNP,nsubj,I’d looked up the safety statistics on Austria when Dad had first moved here.,,Dad,PERSON
Chapter 10,The Riesenrad,moved,VERB,move,VBN,advcl,I’d looked up the safety statistics on Austria when Dad had first moved here.,,,
Chapter 10,The Riesenrad,bathrooms,NOUN,bathroom,NNS,nsubj,Some bathrooms in Austria weren’t free—you had to pay to use them.,,,
Chapter 10,The Riesenrad,Austria,PROPN,austria,NNP,pobj,Some bathrooms in Austria weren’t free—you had to pay to use them.,,Austria,GPE
Chapter 10,The Riesenrad,free,ADJ,free,JJ,acomp,Some bathrooms in Austria weren’t free—you had to pay to use them.,,,
Chapter 10,The Riesenrad,pay,VERB,pay,VB,xcomp,Some bathrooms in Austria weren’t free—you had to pay to use them.,,,
Chapter 10,The Riesenrad,use,VERB,use,VB,advcl,Some bathrooms in Austria weren’t free—you had to pay to use them.,,,
Chapter 10,The Riesenrad,bathrooms,NOUN,bathroom,NNS,nsubj,Even bathrooms in Austria weren’t safe!,,,
Chapter 10,The Riesenrad,Austria,PROPN,austria,NNP,pobj,Even bathrooms in Austria weren’t safe!,,Austria,GPE
Chapter 10,The Riesenrad,safe,ADJ,safe,JJ,acomp,Even bathrooms in Austria weren’t safe!,,,
Chapter 11,Sitting with Fear,Katarina,PROPN,katarina,NNP,nsubj,“Katarina and I are cooking dinner to celebrate your first full day in Austria.,,Katarina,PERSON
Chapter 11,Sitting with Fear,cooking,VERB,cook,VBG,ROOT,“Katarina and I are cooking dinner to celebrate your first full day in Austria.,,,
Chapter 11,Sitting with Fear,dinner,NOUN,dinner,NN,dobj,“Katarina and I are cooking dinner to celebrate your first full day in Austria.,,,
Chapter 11,Sitting with Fear,celebrate,VERB,celebrate,VB,advcl,“Katarina and I are cooking dinner to celebrate your first full day in Austria.,,,
Chapter 11,Sitting with Fear,day,NOUN,day,NN,dobj,“Katarina and I are cooking dinner to celebrate your first full day in Austria.,,first full day,DATE
Chapter 11,Sitting with Fear,Austria,PROPN,austria,NNP,pobj,“Katarina and I are cooking dinner to celebrate your first full day in Austria.,,Austria,GPE
