Word,Synonyms
jump,"jump, leap, saltation, startle, start, parachuting, jumping, bound, spring, leap out, jump out, stand out, stick out, rise, climb up, jump off, derail, chute, parachute, jumpstart, jump-start, pass over, skip, skip over, alternate"
told,"state, say, tell, narrate, recount, recite, order, enjoin, assure, evidence, distinguish, separate, differentiate, secern, secernate, severalize, severalise, tell apart"
knew,"know, cognize, cognise, experience, live, acknowledge, recognize, recognise, sleep together, roll in the hay, love, make out, make love, sleep with, get laid, have sex, do it, be intimate, have intercourse, have it away, have it off, screw, fuck, jazz, eff, hump, lie with, bed, have a go at it, bang, get it on, bonk"
waiting,"wait, waiting, hold off, hold back, expect, look, await, waitress, ready and waiting"
ladder,"ladder, run, ravel"
boy,"male child, boy, son"
cried,"shout, shout out, cry, call, yell, scream, holler, hollo, squall, weep, exclaim, cry out, outcry, call out, blazon out"
ahead,"ahead, in the lead, leading, in front, before, forward, onward, onwards, forwards, forrader, in advance, beforehand, out front"
acted,"act, move, behave, do, play, represent, act as, work, dissemble, pretend, roleplay, playact"
noticed,"detect, observe, find, discover, notice, mark, note, comment, remark, point out, acknowledge, noticed"
pretty,"pretty, reasonably, moderately, jolly, somewhat, fairly, middling, passably"
sister,"sister, sis, Sister, baby, babe"
minute,"minute, min, moment, mo, second, bit, instant, arcminute, minute of arc, hour, infinitesimal, narrow"
got,"get, acquire, become, go, let, have, receive, find, obtain, incur, arrive, come, bring, convey, fetch, experience, pay back, pay off, fix, make, induce, stimulate, cause, catch, capture, grow, develop, produce, contract, take, drive, aim, arrest, scram, buzz off, fuck off, bugger off, get under one's skin, draw, perplex, vex, stick, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound, get down, begin, start out, start, set about, set out, commence, suffer, sustain, beget, engender, father, mother, sire, generate, bring forth"
pool,"pool, pond, consortium, syndicate, puddle, kitty, pocket billiards"
school,"school, schoolhouse, schooling, schooltime, school day, shoal, educate, train, cultivate, civilize, civilise"
started,"get down, begin, get, start out, start, set about, set out, commence, lead off, depart, part, set forth, set off, take off, originate, initiate, start up, embark on, startle, jump, go, get going, take up, protrude, pop, pop out, bulge, bulge out, bug out, come out"
words,"words, lyric, language, quarrel, wrangle, row, run-in, dustup, actor's line, speech, word, news, intelligence, tidings, discussion, give-and-take, parole, word of honor, Son, Word, Logos, password, watchword, countersign, Bible, Christian Bible, Book, Good Book, Holy Scripture, Holy Writ, Scripture, Word of God, give voice, formulate, phrase, articulate"
blue,"blue, blueness, blue sky, blue air, wild blue yonder, bluing, blueing, amobarbital sodium, blue angel, blue devil, Amytal, bluish, blueish, gloomy, grim, depressed, dispirited, down, downcast, downhearted, down in the mouth, low, low-spirited, blasphemous, profane, gamy, gamey, juicy, naughty, racy, risque, spicy, aristocratic, aristocratical, blue-blooded, gentle, patrician, puritanic, puritanical, dark, dingy, disconsolate, dismal, sorry, drab, drear, dreary"
thousand,"thousand, one thousand, 1000, M, K, chiliad, G, grand, thou, yard, m, k"
different,"different, unlike, dissimilar"
shades,"sunglasses, dark glasses, shades, shade, shadiness, shadowiness, tint, tincture, tone, nuance, nicety, subtlety, refinement, tad, ghost, spook, wraith, specter, spectre, shadow, shade off, fill in"
yeah,"yea, yeah"
common,"park, commons, common, green, mutual, usual, vernacular, vulgar, plebeian, unwashed, coarse, rough-cut, uncouth"
friend,"friend, ally, acquaintance, supporter, protagonist, champion, admirer, booster, Friend, Quaker"
find,"discovery, breakthrough, find, uncovering, happen, chance, bump, encounter, detect, observe, discover, notice, regain, determine, find out, ascertain, feel, witness, see, line up, get hold, come up, rule, receive, get, obtain, incur, recover, retrieve, find oneself"
need,"need, demand, want, motivation, motive, indigence, penury, pauperism, pauperization, necessitate, ask, postulate, require, take, involve, call for"
day,"day, twenty-four hours, twenty-four hour period, 24-hour interval, solar day, mean solar day, daytime, daylight, sidereal day, Day, Clarence Day, Clarence Shepard Day Jr."
boss,"foreman, chief, gaffer, honcho, boss, hirer, party boss, political boss, knob, Bos, genus Bos, emboss, stamp, brag"
ruined,"destroy, ruin, bankrupt, break, smash, deflower, destroyed, ruined, done for, sunk, undone, washed-up, finished"
swimming,"swimming, swim, float, drown, liquid, naiant"
eleventh,"eleventh, 11th"
grade,"class, form, grade, course, level, tier, grad, gradation, mark, score, ground level, degree, rate, rank, range, order, place"
felt,"felt, felt up, mat up, matt-up, matte up, matte, mat, feel, experience, find, sense, finger, palpate"
palm,"palm, thenar, palm tree, decoration, laurel wreath, medal, medallion, ribbon, handle"
took,"take, occupy, use up, lead, direct, conduct, guide, get hold of, assume, acquire, adopt, take on, read, bring, convey, choose, select, pick out, accept, have, fill, consider, deal, look at, necessitate, ask, postulate, need, require, involve, call for, demand, film, shoot, remove, take away, withdraw, consume, ingest, take in, submit, strike, take up, admit, learn, study, claim, exact, make, aim, train, take aim, carry, pack, lease, rent, hire, charter, engage, subscribe, subscribe to, contain, hold, drive, contract, get"
way,"manner, mode, style, way, fashion, means, agency, direction, path, way of life, room, elbow room, right smart"
tomorrow,tomorrow
liked,"wish, care, like, liked"
street,street
likes,"like, the like, the likes of, ilk, wish, care"
sighed,"sigh, suspire"
open,"open, clear, outdoors, out-of-doors, open air, surface, open up, unfold, spread, spread out, afford, give, unfastened, exposed, opened, assailable, undefendable, undefended, loose, undecided, undetermined, unresolved, receptive, overt, capable, subject, candid, heart-to-heart"
bar,"barroom, bar, saloon, ginmill, taproom, measure, prevention, legal profession, legal community, stripe, streak, cake, Browning automatic rifle, BAR, debar, exclude, barricade, block, blockade, stop, block off, block up, banish, relegate"
candy,"candy, confect, sugarcoat, glaze"
shared,"share, partake, partake in, divvy up, portion out, apportion, deal, shared, divided, divided up, shared out"
entrance,"entrance, entranceway, entryway, entry, entree, entering, ingress, incoming, capture, enamour, trance, catch, becharm, enamor, captivate, beguile, charm, fascinate, bewitch, enchant, spellbind"
zoo,"menagerie, zoo, zoological garden"
wall,"wall, paries, rampart, bulwark, palisade, fence, fence in, surround"
sat,"Saturday, Sabbatum, Sat, sit, sit down, sit around, model, pose, posture, ride, baby-sit, seat"
bought,"buy, purchase, bribe, corrupt, grease one's palms"
shoulder,"shoulder, shoulder joint, articulatio humeri, berm"
hand,"hand, manus, mitt, paw, hired hand, hired man, handwriting, script, deal, bridge player, helping hand, pass, reach, pass on, turn over, give"
eyes,"eyes, eye, oculus, optic, center, centre, middle, heart, eyeball"
commanded,"command, require, dominate, overlook, overtop, control"
quiet,"lull, quiet, tranquillity, tranquility, silence, repose, placidity, serenity, quieten, hush, quiesce, quiet down, pipe down, calm, calm down, tranquilize, tranquillize, tranquillise, still, restrained, hushed, muted, subdued, placid, tranquil, smooth, unruffled, quietly"
roar,"boom, roar, roaring, thunder, bellow, bellowing, holla, holler, hollering, hollo, holloa, yowl, howl, ululate, wail, yawl, yaup"
listened,"listen, hear, take heed, heed, mind"
night,"night, nighttime, dark, Nox, Night"
wet,"moisture, wet, lactating, besotted, blind drunk, blotto, crocked, cockeyed, fuddled, loaded, pie-eyed, pissed, pixilated, plastered, slopped, sloshed, smashed, soaked, soused, sozzled, squiffy, stiff, tight"
hair,"hair, hair's-breadth, hairsbreadth, whisker, fuzz, tomentum, pilus, haircloth"
gotten,"get, acquire, become, go, let, have, receive, find, obtain, incur, arrive, come, bring, convey, fetch, experience, pay back, pay off, fix, make, induce, stimulate, cause, catch, capture, grow, develop, produce, contract, take, drive, aim, arrest, scram, buzz off, fuck off, bugger off, get under one's skin, draw, perplex, vex, stick, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound, get down, begin, start out, start, set about, set out, commence, suffer, sustain, beget, engender, father, mother, sire, generate, bring forth"
bye,"bye, pass, adieu, adios, arrivederci, auf wiedersehen, au revoir, bye-bye, cheerio, good-by, goodby, good-bye, goodbye, good day, sayonara, so long"
good,"good, goodness, commodity, trade good, full, estimable, honorable, respectable, beneficial, just, upright, adept, expert, practiced, proficient, skillful, skilful, dear, near, dependable, safe, secure, right, ripe, well, effective, in effect, in force, serious, sound, salutary, honest, undecomposed, unspoiled, unspoilt, thoroughly, soundly"
waving,"wave, waving, wafture, beckon, brandish, flourish, roll, undulate, flap, curl"
replied,"answer, reply, respond"
highest,"high, eminent, high-pitched, in high spirits, gamey, gamy, mellow"
little,"little, small, slight, fiddling, footling, lilliputian, niggling, piddling, piffling, petty, picayune, trivial, short, minuscule"
sixteen,"sixteen, 16, XVI, xvi"
tallest,"tall, grandiloquent, magniloquent, improbable, marvelous, marvellous"
diving,"diving, diving event, dive, plunge, plunk"
platform,"platform, political platform, political program, program, weapons platform, chopine"
high,"high, heights, senior high school, senior high, highschool, high school, high gear, eminent, high-pitched, in high spirits, gamey, gamy, mellow, high up, richly, luxuriously"
perfect,"perfective, perfective tense, perfect, perfect tense, hone, arrant, complete, consummate, double-dyed, everlasting, gross, pure, sodding, stark, staring, thoroughgoing, utter, unadulterated"
kind,"kind, sort, form, variety, genial, tolerant"
positive,"positive, positive degree, convinced, confident, plus, confirming, prescribed, incontrovertible, irrefutable, positivist, positivistic, electropositive, positively charged, cocksure, overconfident"
throw,"throw, stroke, cam stroke, shed, cast, cast off, shake off, throw off, throw away, drop, thrust, give, flip, switch, project, contrive, bewilder, bemuse, discombobulate, hurl, hold, have, make, confuse, fox, befuddle, fuddle, bedevil, confound"
super,"superintendent, super, ace, A-one, crack, first-rate, tiptop, topnotch, top-notch, tops, extremely, exceedingly, passing"
huge,"huge, immense, vast, Brobdingnagian"
meter,"meter, metre, m, measure, beat, cadence, time"
movies,"movie, film, picture, moving picture, moving-picture show, motion picture, motion-picture show, picture show, pic, flick"
changed,"change, alter, modify, vary, switch, shift, exchange, commute, convert, interchange, transfer, deepen, changed"
beautiful,beautiful
standing,"standing, stand, stand up, remain firm, digest, endure, stick out, stomach, bear, tolerate, support, brook, abide, suffer, put up, place upright, resist, fend"
probably,"probably, likely, in all likelihood, in all probability, belike, credibly, believably, plausibly"
send,"send, direct, send out, mail, post, transport, ship, station, place, get off, send off, commit, institutionalize, institutionalise, charge, air, broadcast, beam, transmit"
test,"trial, trial run, test, tryout, mental test, mental testing, psychometric test, examination, exam, run, prove, try, try out, examine, essay, screen, quiz"
sends,"send, direct, send out, mail, post, transport, ship, station, place, get off, send off, commit, institutionalize, institutionalise, charge, air, broadcast, beam, transmit"
professor,"professor, prof"
correspondence,"correspondence, agreement, commensurateness, proportionateness, symmetry, symmetricalness, balance, parallelism"
classes,"class, category, family, form, grade, course, stratum, social class, socio-economic class, course of study, course of instruction, division, year, classify, sort, assort, sort out, separate"
grades,"class, form, grade, course, level, tier, grad, gradation, mark, score, ground level, degree, rate, rank, range, order, place"
history,"history, account, chronicle, story"
wonderful,"fantastic, grand, howling, marvelous, marvellous, rattling, terrific, tremendous, wonderful, wondrous"
carried,"transport, carry, pack, take, impart, conduct, transmit, convey, channel, express, hold, bear, contain, extend, behave, acquit, deport, comport, stock, stockpile, run, dribble, persuade, sway, post, have a bun in the oven, gestate, expect"
plates,"home plate, home base, home, plate, plateful, crustal plate, photographic plate, collection plate, scale, shell, denture, dental plate, plat, plot"
dining,"dining, dine, boom, din"
interested,"interest, concern, occupy, worry, matter to, interested, concerned"
room,"room, way, elbow room, board"
thought,"idea, thought, thinking, thought process, cerebration, intellection, mentation, opinion, sentiment, persuasion, view, think, believe, consider, conceive, opine, suppose, imagine, reckon, guess, cogitate, cerebrate, remember, retrieve, recall, call back, call up, recollect, intend, mean"
schools,"school, schoolhouse, schooling, schooltime, school day, shoal, educate, train, cultivate, civilize, civilise"
arguing,"controversy, contention, contestation, disputation, disceptation, tilt, argument, arguing, argue, reason, contend, debate, fence, indicate"
politicians,"politician, politico, pol, political leader"
telling,"relation, telling, recounting, apprisal, notification, tattle, singing, state, say, tell, narrate, recount, recite, order, enjoin, assure, evidence, distinguish, separate, differentiate, secern, secernate, severalize, severalise, tell apart, revealing, telltale, cogent, weighty, impressive"
run,"run, tally, test, trial, footrace, foot race, streak, running, running play, running game, rivulet, rill, runnel, streamlet, political campaign, campaign, ladder, ravel, discharge, outpouring, scat, scarper, turn tail, lam, run away, hightail it, bunk, head for the hills, take to the woods, escape, fly the coop, break away, go, pass, lead, extend, operate, flow, feed, course, function, work, range, play, tend, be given, lean, incline, prevail, persist, die hard, endure, execute, carry, guide, draw, black market, bleed, run for, consort, ply, hunt, hunt down, track down, race, move, melt, melt down, unravel"
beat,"beat, round, pulse, pulsation, heartbeat, rhythm, musical rhythm, beatnik, meter, metre, measure, cadence, beat out, crush, shell, trounce, vanquish, beat up, work over, pound, thump, drum, thrum, flap, scramble, bunk, tick, ticktock, ticktack, pulsate, quiver, outwit, overreach, outsmart, outfox, circumvent, perplex, vex, stick, get, puzzle, mystify, baffle, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound, exhaust, wash up, tucker, tucker out, all in, bushed, dead"
closed,"close, shut, close up, fold, shut down, close down, conclude, come together, fill up, closed, unopen, unsympathetic, closed in"
weeks,"week, hebdomad, workweek, calendar week"
know,"know, cognize, cognise, experience, live, acknowledge, recognize, recognise, sleep together, roll in the hay, love, make out, make love, sleep with, get laid, have sex, do it, be intimate, have intercourse, have it away, have it off, screw, fuck, jazz, eff, hump, lie with, bed, have a go at it, bang, get it on, bonk"
family,"family, household, house, home, menage, family unit, class, category, family line, folk, kinfolk, kinsfolk, sept, phratry, kin, kinsperson, syndicate, crime syndicate, mob, fellowship"
hour,"hour, hr, 60 minutes, time of day, minute"
hi,"hello, hullo, hi, howdy, how-do-you-do, Hawaii, Hawai'i, Aloha State, HI"
coming,"approach, approaching, coming, advent, orgasm, climax, sexual climax, come, come up, arrive, get, follow, issue forth, hail, fall, total, number, add up, amount, come in, occur, derive, descend, do, fare, make out, get along, forthcoming, upcoming"
sweetie,"sweetheart, sweetie, steady, truelove"
wore,"wear, have on, bear, wear off, wear out, wear down, wear thin, hold out, endure, break, bust, fall apart, tire, wear upon, tire out, weary, jade, outwear, fag out, fag, fatigue, put on, get into, don, assume"
dazzling,"dazzle, bedazzle, daze, dazzling, eye-popping, fulgurant, fulgurous, blazing, blinding, fulgent, glaring, glary"
smile,"smile, smiling, grin, grinning"
transformed,"transform, transmute, transubstantiate, metamorphose, translate, transformed"
nice,"Nice, nice, decent, skillful, dainty, overnice, prissy, squeamish, courteous, gracious"
guy,"guy, cat, hombre, bozo, Guy, guy cable, guy wire, guy rope, ridicule, roast, blackguard, laugh at, jest at, rib, make fun, poke fun"
movie,"movie, film, picture, moving picture, moving-picture show, motion picture, motion-picture show, picture show, pic, flick"
star,"star, ace, adept, champion, sensation, maven, mavin, virtuoso, genius, hotshot, superstar, whiz, whizz, wizard, wiz, principal, lead, headliner, asterisk, star topology, leading, prima, starring, stellar"
better,"better, bettor, wagerer, punter, break, improve, amend, ameliorate, meliorate, best, good, full, estimable, honorable, respectable, beneficial, just, upright, adept, expert, practiced, proficient, skillful, skilful, dear, near, dependable, safe, secure, right, ripe, well, effective, in effect, in force, serious, sound, salutary, honest, undecomposed, unspoiled, unspoilt, easily, considerably, substantially, intimately, advantageously, comfortably"
grinned,grin
ground,"land, dry land, earth, ground, solid ground, terra firma, reason, footing, basis, background, soil, flat coat, primer, priming, primer coat, priming coat, undercoat, anchor, strand, run aground, prime, establish, base, found, crunch, cranch, craunch, grind, grate, labor, labour, toil, fag, travail, drudge, dig, moil, mash, bray, comminute"
picked,"pick, pluck, cull, blame, find fault, clean, foot, plunk, break up, peck, beak, nibble, piece"
big,"large, big, bad, prominent, heavy, boastful, braggart, bragging, braggy, cock-a-hoop, crowing, self-aggrandizing, self-aggrandising, swelled, vainglorious, adult, full-grown, fully grown, grown, grownup, magnanimous, bighearted, bounteous, bountiful, freehanded, handsome, giving, liberal, openhanded, enceinte, expectant, gravid, great, with child, boastfully, vauntingly"
fact,fact
maybe,"possibly, perchance, perhaps, maybe, mayhap, peradventure"
organize,"form, organize, organise, mastermind, engineer, direct, orchestrate, coordinate, prepare, devise, get up, machinate, unionize, unionise"
study,"survey, study, work, report, written report, discipline, subject, subject area, subject field, field, field of study, bailiwick, sketch, cogitation, analyze, analyse, examine, canvass, canvas, consider, learn, read, take, hit the books, meditate, contemplate"
groups,"group, grouping, radical, chemical group, mathematical group, aggroup"
math,"mathematics, math, maths"
gave,"give, yield, afford, pay, hold, throw, have, make, gift, present, devote, render, return, generate, impart, leave, pass on, establish, sacrifice, pass, hand, reach, turn over, dedicate, consecrate, commit, apply, grant, move over, give way, ease up, feed, contribute, chip in, kick in, collapse, fall in, cave in, break, founder, open"
hug,"hug, clinch, squeeze, embrace, bosom"
looking,"look, looking, looking at, looking for, appear, seem, search, front, face, attend, take care, see, expect, await, wait, count, bet, depend, calculate, reckon, sounding"
invent,"invent, contrive, devise, excogitate, formulate, forge, fabricate, manufacture, cook up, make up"
bed,"bed, bottom, seam, layer, sleep together, roll in the hay, love, make out, make love, sleep with, get laid, have sex, know, do it, be intimate, have intercourse, have it away, have it off, screw, fuck, jazz, eff, hump, lie with, have a go at it, bang, get it on, bonk, go to bed, turn in, crawl in, kip down, hit the hay, hit the sack, sack out, go to sleep, retire"
wondering,"wonder, inquire, enquire, question, marvel, inquisitive, speculative, questioning, wondering"
things,"things, thing, matter, affair"
fooled,"fool, gull, befool, fritter, frivol away, dissipate, shoot, fritter away, fool away, dupe, slang, cod, put on, take in, put one over, put one across, horse around, arse around, fool around"
awful,"atrocious, abominable, awful, dreadful, painful, terrible, unspeakable, dire, direful, dread, dreaded, fearful, fearsome, frightening, horrendous, horrific, nasty, awed, frightful, tremendous, amazing, awe-inspiring, awesome, awing, terribly, awfully, frightfully"
inside,"inside, interior, inner, privileged, indoors, within, inwardly, at heart, at bottom, deep down, in spite of appearance"
talking,"talk, talking, speak, utter, mouth, verbalize, verbalise, spill, spill the beans, let the cat out of the bag, tattle, blab, peach, babble, sing, babble out, blab out, lecture"
lay,"ballad, lay, put, set, place, pose, position, put down, repose, lie, dwell, consist, lie in, rest, lie down, laic, secular"
fun,"fun, merriment, playfulness, play, sport"
lint,lint
piece,"piece, part, musical composition, opus, composition, piece of music, bit, firearm, small-arm, slice, objet d'art, art object, while, spell, patch, man, assemble, put together, set up, tack, tack together, nibble, pick"
naturally,"naturally, of course, course, by nature"
mean,"mean, mean value, intend, entail, imply, signify, stand for, think, think of, have in mind, average, hateful, base, meanspirited, beggarly, mingy, miserly, tight, bastardly"
sweater,"sweater, jumper, perspirer"
bragging,"brag, bragging, crow, crowing, vaporing, line-shooting, gasconade, boast, tout, swash, shoot a line, gas, blow, bluster, vaunt, boastful, braggart, braggy, big, cock-a-hoop, self-aggrandizing, self-aggrandising"
seen,"see, understand, realize, realise, witness, find, visualize, visualise, envision, project, fancy, figure, picture, image, consider, reckon, view, regard, learn, hear, get word, get wind, pick up, find out, get a line, discover, watch, catch, take in, meet, run into, encounter, run across, come across, determine, check, ascertain, insure, see to it, ensure, control, assure, visit, attend, take care, look, go steady, go out, date, examine, experience, go through, escort, interpret, construe"
fine,"fine, mulct, amercement, ticket, all right, o.k., ok, okay, hunky-dory, very well, alright, OK, finely, delicately, exquisitely"
believe,"believe, think, consider, conceive, trust"
pulled,"pull, draw, force, attract, pull in, draw in, perpetrate, commit, pull out, get out, take out, overstretch, rend, rip, rive, pluck, tear, deplume, deplumate, displume, extract, pull up, draw out, root for"
small,"small, little, minor, modest, small-scale, pocket-size, pocket-sized, humble, low, lowly, minuscule, belittled, diminished"
green,"green, greenness, viridity, park, commons, common, Green, William Green, Green River, putting green, putting surface, greens, leafy vegetable, K, jet, super acid, special K, honey oil, cat valium, super C, greenish, light-green, dark-green, unripe, unripened, immature, fleeceable, gullible"
turtles,"turtleneck, turtle, polo-neck, capsize, turn turtle"
bag,"bag, base, handbag, pocketbook, purse, bagful, traveling bag, travelling bag, grip, suitcase, old bag, udder, cup of tea, dish, bulge, pocket"
placed,"put, set, place, pose, position, lay, rate, rank, range, order, grade, locate, site, come in, come out, target, aim, direct, point, identify, localize, localise, invest, commit, station, post, send, located, placed, situated"
feather,"feather, plume, plumage, feathering, square, fledge"
carefully,"carefully, cautiously"
bottle,"bottle, bottleful, feeding bottle, nursing bottle"
pocket,"pocket, pouch, sac, sack, scoop, air pocket, air hole, bag"
reached,"reach, make, attain, hit, arrive at, gain, reach out, get through, get hold of, contact, achieve, accomplish, extend to, touch, get to, progress to, pass, hand, pass on, turn over, give, strive, strain"
late,"late, belated, tardy, recent, later, former, previous, belatedly, tardily, deep, recently, lately, of late, latterly"
imagine,"imagine, conceive of, ideate, envisage, think, opine, suppose, reckon, guess"
people,"people, citizenry, multitude, masses, mass, hoi polloi, the great unwashed"
book,"book, volume, record, record book, script, playscript, ledger, leger, account book, book of account, rule book, Koran, Quran, al-Qur'an, Book, Bible, Christian Bible, Good Book, Holy Scripture, Holy Writ, Scripture, Word of God, Word, reserve, hold"
underwear,"underwear, underclothes, underclothing"
old,"old, older, erstwhile, former, onetime, one-time, quondam, sometime, honest-to-god, honest-to-goodness, sure-enough, Old, previous"
prime,"prime, prime quantity, flower, peak, heyday, bloom, blossom, efflorescence, flush, prime of life, ground, undercoat, premier, choice, prize, quality, select, meridian"
numbers,"Numbers, Book of Numbers, numbers pool, numbers game, numbers racket, numbers, number, figure, act, routine, turn, bit, phone number, telephone number, numeral, issue, identification number, total, add up, come, amount, list, count, enumerate, numerate, keep down"
sorry,"regretful, sorry, bad, deplorable, distressing, lamentable, pitiful, sad, good-for-nothing, good-for-naught, meritless, no-account, no-count, no-good, blue, dark, dingy, disconsolate, dismal, gloomy, grim, drab, drear, dreary"
square,"square, foursquare, second power, public square, lame, square toes, square up, feather, straight, hearty, satisfying, solid, substantial, straightforward, squarely"
magic,"magic, thaumaturgy, magic trick, conjuring trick, trick, legerdemain, conjuration, illusion, deception, charming, magical, sorcerous, witching, wizard, wizardly"
bring,"bring, convey, take, work, play, wreak, make for, get, fetch, land, institute, lend, impart, bestow, contribute, add, bring in"
heart,"heart, bosom, pump, ticker, mettle, nerve, spunk, center, centre, middle, eye, kernel, substance, core, essence, gist, heart and soul, inwardness, marrow, meat, nub, pith, sum, nitty-gritty, spirit, affection, affectionateness, fondness, tenderness, warmness, warmheartedness, philia"
yes,yes
fast,"fast, fasting, debauched, degenerate, degraded, dissipated, dissolute, libertine, profligate, riotous, flying, quick, firm, immobile, loyal, truehearted, tight"
election,election
bad,"bad, badness, big, tough, spoiled, spoilt, regretful, sorry, uncollectible, risky, high-risk, speculative, unfit, unsound, forged, defective, badly"
mood,"temper, mood, humor, humour, climate, mode, modality"
thinking,"thinking, thought, thought process, cerebration, intellection, mentation, think, believe, consider, conceive, opine, suppose, imagine, reckon, guess, cogitate, cerebrate, remember, retrieve, recall, call back, call up, recollect, intend, mean, intelligent, reasoning"
smaller,"smaller, littler, small, little, minor, modest, small-scale, pocket-size, pocket-sized, humble, low, lowly, minuscule, belittled, diminished"
colored,"colored person, colored, color, colorize, colorise, colourise, colourize, colour, color in, colour in, tinge, distort, emblazon, gloss, discolor, discolour, coloured, colorful, dark, dark-skinned, non-white, biased, one-sided, slanted, bleached, dyed"
person,"person, individual, someone, somebody, mortal, soul"
talked,"talk, speak, utter, mouth, verbalize, verbalise, spill, spill the beans, let the cat out of the bag, tattle, blab, peach, babble, sing, babble out, blab out, lecture"
drinking,"drinking, imbibing, imbibition, drink, boozing, drunkenness, crapulence, imbibe, booze, fuddle, toast, pledge, salute, wassail, drink in, tope"
glass,"glass, drinking glass, glassful, field glass, spyglass, methamphetamine, methamphetamine hydrochloride, Methedrine, meth, deoxyephedrine, chalk, chicken feed, crank, ice, shabu, trash, looking glass, glaze, glass in, glass over, glaze over"
tea,"tea, afternoon tea, teatime, Camellia sinensis, tea leaf"
conversation,conversation
tried,"try, seek, attempt, essay, assay, test, prove, try out, examine, judge, adjudicate, sample, taste, hear, strain, stress, render, try on, tested, tried, well-tried, time-tested, tried and true"
