Word,Synonyms
sheriff,sheriff
silver,"silver, Ag, atomic number 47, ash grey, ash gray, silver grey, silver gray, flatware, silver medal, silvern, silvery, argent, silverish, eloquent, facile, fluent, silver-tongued, smooth-spoken"
like,"like, the like, the likes of, ilk, wish, care, similar, same, alike, comparable, corresponding"
glinted,"glitter, glisten, glint, gleam, shine, glance, peek"
metal,"metallic element, metal, alloy, metallic"
burned,"burn, fire, burn down, glow, combust, bite, sting, incinerate, cauterize, cauterise, sunburn, cut, burn off, burn up, burned, burnt, burned-over, burned-out, burnt-out"
labels,"label, recording label, tag, mark, pronounce, judge"
tall,"tall, grandiloquent, magniloquent, improbable, marvelous, marvellous"
feet,"foot, human foot, pes, ft, animal foot, foundation, base, fundament, groundwork, substructure, understructure, invertebrate foot, infantry, metrical foot, metrical unit"
cans,"can, tin, tin can, canful, can buoy, buttocks, nates, arse, butt, backside, bum, buns, fundament, hindquarters, hind end, keister, posterior, prat, rear, rear end, rump, stern, seat, tail, tail end, tooshie, tush, bottom, behind, derriere, fanny, ass, toilet, commode, crapper, pot, potty, stool, throne, lavatory, lav, john, privy, bathroom, put up, displace, fire, give notice, dismiss, give the axe, send away, sack, force out, give the sack, terminate"
tin,"tin, Sn, atomic number 50, canister, cannister, can, tin can, put up"
pile,"pile, heap, mound, agglomerate, cumulation, cumulus, batch, deal, flock, good deal, great deal, hatful, lot, mass, mess, mickle, mint, mountain, muckle, passel, peck, plenty, pot, quite a little, raft, sight, slew, spate, stack, tidy sum, wad, bundle, big bucks, megabucks, big money, down, voltaic pile, galvanic pile, spile, piling, stilt, nap, atomic pile, atomic reactor, chain reactor, throng, mob, pack, jam"
loomed,"loom, tower, predominate, hulk, brood, hover, bulk large"
farther,"farther, further, far"
bit,"spot, bit, chip, flake, fleck, scrap, moment, mo, minute, second, piece, morsel, bite, snatch, act, routine, number, turn, seize with teeth, sting, burn, prick"
pair,"pair, brace, couple, twosome, twain, span, yoke, couplet, distich, duo, duet, dyad, duad, pair off, partner off, match, mate, twin, geminate, copulate"
giving,"giving, gift, give, yield, afford, pay, hold, throw, have, make, present, devote, render, return, generate, impart, leave, pass on, establish, sacrifice, pass, hand, reach, turn over, dedicate, consecrate, commit, apply, grant, move over, give way, ease up, feed, contribute, chip in, kick in, collapse, fall in, cave in, break, founder, open, big, bighearted, bounteous, bountiful, freehanded, handsome, liberal, openhanded"
torture,"anguish, torment, torture, agony, distortion, overrefinement, straining, twisting, torturing, excruciate, rack"
agreed,"agree, hold, concur, concord, match, fit, correspond, check, jibe, gibe, tally, harmonize, harmonise, consort, accord, fit in, agreed, in agreement"
spy,"spy, undercover agent, descry, spot, espy, stag, snoop, sleuth, sight"
noodles,"noodle, attic, bean, bonce, noggin, dome"
dumpling,"dumpling, dumplings"
circle,"circle, set, band, lot, lap, circuit, traffic circle, rotary, roundabout, R-2, Mexican valium, rophy, rope, roofy, roach, forget me drug, dress circle, round, circulate, encircle"
half,"one-half, half"
loved,"love, enjoy, sleep together, roll in the hay, make out, make love, sleep with, get laid, have sex, know, do it, be intimate, have intercourse, have it away, have it off, screw, fuck, jazz, eff, hump, lie with, bed, have a go at it, bang, get it on, bonk, loved"
perogies,
promised,"promise, assure, predict, foretell, prognosticate, call, forebode, anticipate"
mom,"ma, mama, mamma, mom, momma, mommy, mammy, mum, mummy"
love,"love, passion, beloved, dear, dearest, honey, sexual love, erotic love, lovemaking, making love, love life, enjoy, sleep together, roll in the hay, make out, make love, sleep with, get laid, have sex, know, do it, be intimate, have intercourse, have it away, have it off, screw, fuck, jazz, eff, hump, lie with, bed, have a go at it, bang, get it on, bonk"
finally,"finally, eventually, ultimately, in the end, at last, at long last, last, lastly, in conclusion"
cowboy,"cowboy, cowpuncher, puncher, cowman, cattleman, cowpoke, cowhand, cowherd, rodeo rider"
leather,leather
mean,"mean, mean value, intend, entail, imply, signify, stand for, think, think of, have in mind, average, hateful, base, meanspirited, beggarly, mingy, miserly, tight, bastardly"
week,"week, hebdomad, workweek, calendar week"
brought,"bring, convey, take, work, play, wreak, make for, get, fetch, land, institute, lend, impart, bestow, contribute, add, bring in"
home,"home, place, dwelling, domicile, abode, habitation, dwelling house, home plate, home base, plate, base, family, household, house, menage, nursing home, rest home, interior, internal, national"
box,"box, loge, boxful, corner, boxwood, box seat, package"
right,"right, right field, rightfield, right wing, right hand, rightfulness, compensate, redress, correct, rectify, proper, right-hand, good, ripe, veracious, flop, properly, decently, decent, in good order, the right way, right on, mighty, mightily, powerful, justly, correctly, aright"
shape,"shape, form, configuration, contour, conformation, human body, physical body, material body, soma, build, figure, physique, anatomy, bod, chassis, frame, flesh, embodiment, cast, condition, Supreme Headquarters Allied Powers Europe, SHAPE, pattern, determine, mold, influence, regulate, work, mould, forge"
size,"size, sizing, size of it"
hold,"clasp, clench, clutch, clutches, grasp, grip, hold, appreciation, delay, time lag, postponement, wait, detention, detainment, custody, keep, handle, handgrip, cargo area, cargo deck, cargo hold, storage area, maintain, take hold, throw, have, make, give, have got, deem, view as, take for, harbor, harbour, entertain, nurse, restrain, confine, retain, keep back, hold back, bear, support, sustain, hold up, carry, contain, accommodate, admit, prevail, obtain, take, reserve, book, defend, guard, oblige, bind, obligate, defy, withstand, apply, go for, control, hold in, check, curb, moderate, halt, arrest, declare, adjudge, agree, concur, concord"
filled,"fill, fill up, make full, occupy, take, meet, satisfy, fulfill, fulfil, satiate, sate, replete, filled"
mashed,"squash, crush, squelch, mash, squeeze, chat up, flirt, dally, butterfly, coquet, coquette, romance, philander, grind, crunch, bray, comminute"
potatoes,"potato, white potato, Irish potato, murphy, spud, tater, white potato vine, Solanum tuberosum"
cheese,"cheese, tall mallow, high mallow, cheeseflower, Malva sylvestris"
war,"war, warfare, state of war"
bad,"bad, badness, big, tough, spoiled, spoilt, regretful, sorry, uncollectible, risky, high-risk, speculative, unfit, unsound, forged, defective, badly"
limp,"hitch, hobble, limp, gimp, wilted"
arms,"weaponry, arms, implements of war, weapons system, munition, coat of arms, blazon, blazonry, arm, branch, limb, weapon, weapon system, subdivision, sleeve, build up, fortify, gird"
thick,"midst, thick, slurred, compact, heavyset, stocky, thickset, dense, deep, chummy, buddy-buddy, blockheaded, boneheaded, duncical, duncish, fatheaded, loggerheaded, thickheaded, thick-skulled, wooden-headed, thickly"
strong,"strong, potent, stiff, impregnable, inviolable, secure, unassailable, unattackable, solid, substantial, hard, warm, firm"
nipping,"pinch, squeeze, twinge, tweet, nip, twitch, nip off, clip, snip, snip off, barbed, biting, nipping, pungent, mordacious, crisp, frosty, nippy, snappy"
man,"man, adult male, serviceman, military man, military personnel, homo, human being, human, valet, valet de chambre, gentleman, gentleman's gentleman, Man, Isle of Man, piece, world, human race, humanity, humankind, human beings, humans, mankind"
change,"change, alteration, modification, variety, alter, modify, vary, switch, shift, exchange, commute, convert, interchange, transfer, deepen"
started,"get down, begin, get, start out, start, set about, set out, commence, lead off, depart, part, set forth, set off, take off, originate, initiate, start up, embark on, startle, jump, go, get going, take up, protrude, pop, pop out, bulge, bulge out, bug out, come out"
born,"Born, Max Born, bear, give birth, deliver, birth, have, digest, endure, stick out, stomach, stand, tolerate, support, brook, abide, suffer, put up, turn out, take over, accept, assume, hold, carry, contain, yield, pay, wear, behave, acquit, deport, conduct, comport, have a bun in the oven, gestate, expect, born, natural, innate"
time,"time, clip, clock time, fourth dimension, meter, metre, prison term, sentence, clock"
months,"calendar month, month"
died,"die, decease, perish, go, exit, pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it, fail, go bad, give way, give out, conk out, break, break down, die out, pall, become flat"
grandma,"grandma, grandmother, granny, grannie, gran, nan, nanna"
polish,"polish, gloss, glossiness, burnish, refinement, culture, cultivation, finish, Polish, smooth, smoothen, shine, refine, fine-tune, down, round, round off, polish up, brush up"
circus,"circus, carnival, Circus, genus Circus"
genuine,"genuine, echt, true, unfeigned, actual, literal, real"
dirty,"dirty, soil, begrime, grime, colly, bemire, soiled, unclean, filthy, lousy, contaminating, pestiferous, dingy, muddied, muddy, foul, marked-up, ill-gotten, cheating, unsporting, unsportsmanlike, sordid"
shoot,"shoot, hit, pip, blast, film, take, dart, dash, scoot, scud, flash, tear, shoot down, charge, buck, photograph, snap, inject, fritter, frivol away, dissipate, fritter away, fool, fool away, spud, germinate, pullulate, bourgeon, burgeon forth, sprout"
grabbed,"catch, grab, take hold of, snap up, snaffle, seize"
shoes,"place, shoes, shoe, horseshoe, brake shoe, skid"
pull,"pull, pulling, clout, wrench, twist, puff, drag, draw, force, attract, pull in, draw in, perpetrate, commit, pull out, get out, take out, overstretch, rend, rip, rive, pluck, tear, deplume, deplumate, displume, extract, pull up, draw out, root for"
spent,"spend, pass, expend, drop, exhausted, spent, dog-tired, fagged, fatigued, played out, washed-out, worn-out, worn out"
morning,"morning, morn, morning time, forenoon, good morning, dawn, dawning, aurora, first light, daybreak, break of day, break of the day, dayspring, sunrise, sunup, cockcrow"
following,"following, followers, pursuit, chase, pursual, follow, postdate, fall out, travel along, comply, abide by, come after, conform to, adopt, espouse, take after, trace, watch, observe, watch over, keep an eye on, succeed, play along, accompany, keep up, keep abreast, come, be, surveil, survey, pursue, stick to, stick with, undermentioned, next"
collection,"collection, aggregation, accumulation, assemblage, compendium, solicitation, appeal, ingathering, collecting, assembling"
truck,"truck, motortruck, hand truck"
pretended,"feign, sham, pretend, affect, dissemble, act, guess, venture, hazard, make, make believe, profess, assumed, false, fictitious, fictive, pretended, put on"
watching,"observation, observance, watching, watch, observe, follow, watch over, keep an eye on, view, see, catch, take in, look on, look out, watch out, determine, check, find out, ascertain, learn"
swing,"swing, swinging, vacillation, swing music, jive, lilt, golf stroke, golf shot, baseball swing, cut, sway, swing over, sweep, swing out, dangle, drop, get around"
piles,"hemorrhoid, haemorrhoid, piles, tons, dozens, heaps, lots, scores, stacks, loads, rafts, slews, wads, oodles, gobs, scads, lashings, pile, heap, mound, agglomerate, cumulation, cumulus, batch, deal, flock, good deal, great deal, hatful, lot, mass, mess, mickle, mint, mountain, muckle, passel, peck, plenty, pot, quite a little, raft, sight, slew, spate, stack, tidy sum, wad, bundle, big bucks, megabucks, big money, down, voltaic pile, galvanic pile, spile, piling, stilt, nap, atomic pile, atomic reactor, chain reactor, throng, mob, pack, jam"
bed,"bed, bottom, seam, layer, sleep together, roll in the hay, love, make out, make love, sleep with, get laid, have sex, know, do it, be intimate, have intercourse, have it away, have it off, screw, fuck, jazz, eff, hump, lie with, have a go at it, bang, get it on, bonk, go to bed, turn in, crawl in, kip down, hit the hay, hit the sack, sack out, go to sleep, retire"
waiting,"wait, waiting, hold off, hold back, expect, look, await, waitress, ready and waiting"
turn,"bend, crook, twist, turn, turning, play, turn of events, go, spell, tour, bout, round, act, routine, number, bit, good turn, change state, become, change by reversal, reverse, move around, grow, release, turn over, plow, plough, sprain, wrench, wrick, rick, flex, deform, call on, sour, ferment, work"
scale,"scale, scale of measurement, graduated table, ordered series, scale leaf, scurf, exfoliation, musical scale, weighing machine, plate, shell, surmount, descale"
ankles,"ankle, ankle joint, mortise joint, articulatio talocruralis"
climbed,"climb, climb up, mount, go up, wax, rise"
poking,"jab, jabbing, poke, poking, thrust, thrusting, prod, stab, dig, intrude, horn in, pry, nose, thump, pound"
father,"father, male parent, begetter, forefather, sire, Father, Padre, Church Father, Father of the Church, Father-God, Fatherhood, founder, beginner, founding father, don, beget, get, engender, mother, generate, bring forth"
standing,"standing, stand, stand up, remain firm, digest, endure, stick out, stomach, bear, tolerate, support, brook, abide, suffer, put up, place upright, resist, fend"
let,"Lashkar-e-Taiba, Lashkar-e-Toiba, Lashkar-e-Tayyiba, LET, Army of the Pure, Army of the Righteous, let, net ball, allow, permit, countenance, get, have, lease, rent"
friend,"friend, ally, acquaintance, supporter, protagonist, champion, admirer, booster, Friend, Quaker"
rolled,"roll, turn over, wheel, undulate, roll out, wind, wrap, twine, hustle, pluck, flap, wave, wander, swan, stray, tramp, roam, cast, ramble, rove, range, drift, vagabond, revolve, seethe, roll up, involute, rolled, rolling, trilled, furled"
pointed,"indicate, point, designate, show, orient, charge, level, steer, maneuver, manoeuver, manoeuvre, direct, head, guide, channelize, channelise, bespeak, betoken, signal, luff, target, aim, place, sharpen, taper, repoint, pointed"
gun,"gun, artillery, heavy weapon, ordnance, gunman, gunslinger, hired gun, gun for hire, triggerman, hit man, hitman, torpedo, shooter, grease-gun, accelerator, accelerator pedal, gas pedal, gas, throttle"
summer,"summer, summertime"
grown,"turn, grow, mature, maturate, originate, arise, rise, develop, uprise, spring up, raise, farm, produce, get, acquire, adult, big, full-grown, fully grown, grown, grownup"
looked,"look, appear, seem, search, front, face, attend, take care, see, expect, await, wait, count, bet, depend, calculate, reckon"
big,"large, big, bad, prominent, heavy, boastful, braggart, bragging, braggy, cock-a-hoop, crowing, self-aggrandizing, self-aggrandising, swelled, vainglorious, adult, full-grown, fully grown, grown, grownup, magnanimous, bighearted, bounteous, bountiful, freehanded, handsome, giving, liberal, openhanded, enceinte, expectant, gravid, great, with child, boastfully, vauntingly"
high,"high, heights, senior high school, senior high, highschool, high school, high gear, eminent, high-pitched, in high spirits, gamey, gamy, mellow, high up, richly, luxuriously"
live,"populate, dwell, live, inhabit, survive, last, live on, go, endure, hold up, hold out, exist, subsist, be, know, experience, unrecorded, alive, bouncy, lively, resilient, springy, hot"
school,"school, schoolhouse, schooling, schooltime, school day, shoal, educate, train, cultivate, civilize, civilise"
smudged,"smear, blur, smudge, smutch"
cheeks,"cheek, impudence, impertinence, buttock, boldness, nerve, brass, face"
wide,"wide, broad, across-the-board, all-embracing, all-encompassing, all-inclusive, blanket, encompassing, extensive, panoptic, wide-eyed, spacious, wide-cut, full, wide of the mark, astray, widely"
eyes,"eyes, eye, oculus, optic, center, centre, middle, heart, eyeball"
away,"away, outside, off, forth, out, aside, by"
pulled,"pull, draw, force, attract, pull in, draw in, perpetrate, commit, pull out, get out, take out, overstretch, rend, rip, rive, pluck, tear, deplume, deplumate, displume, extract, pull up, draw out, root for"
shirt,shirt
surrender,"resignation, surrender, giving up, yielding, capitulation, fall, give up, cede, deliver"
commie,"communist, commie"
newsprint,"newspaper, newsprint"
expected,"expect, anticipate, ask, require, look, await, wait, have a bun in the oven, bear, carry, gestate, expected"
soviet,"soviet, Soviet"
parachuting,"jump, parachuting, chute, parachute"
sky,"sky, flip, toss, pitch"
shoe,"shoe, horseshoe, brake shoe, skid"
convinced,"convert, win over, convince, convinced, positive, confident"
handed,"pass, hand, reach, pass on, turn over, give, handed"
asked,"ask, inquire, enquire, require, expect, necessitate, postulate, need, take, involve, call for, demand"
inside,"inside, interior, inner, privileged, indoors, within, inwardly, at heart, at bottom, deep down, in spite of appearance"
raccoons,"raccoon, racoon"
turned,"turn, change state, become, change by reversal, reverse, move around, grow, release, turn over, plow, plough, twist, sprain, wrench, wrick, rick, flex, bend, deform, call on, sour, ferment, work, turned, off"
haunted,"haunt, stalk, obsess, ghost, frequent, haunted, obsessed, preoccupied, taken up"
pond,"pond, pool"
shack,"hovel, hut, hutch, shack, shanty, reside, domicile, domiciliate, trail"
gave,"give, yield, afford, pay, hold, throw, have, make, gift, present, devote, render, return, generate, impart, leave, pass on, establish, sacrifice, pass, hand, reach, turn over, dedicate, consecrate, commit, apply, grant, move over, give way, ease up, feed, contribute, chip in, kick in, collapse, fall in, cave in, break, founder, open"
look,"expression, look, aspect, facial expression, face, looking, looking at, spirit, tone, feel, feeling, flavor, flavour, smell, appear, seem, search, front, attend, take care, see, expect, await, wait, count, bet, depend, calculate, reckon"
flying,"flight, flying, fly, wing, aviate, pilot, fell, vanish, flee, take flight, vaporize, fast-flying, quick, fast"
com,
voice,"voice, vocalization, vocalisation, vocalism, phonation, vox, articulation, spokesperson, interpreter, representative, part, sound, vocalize, vocalise"
cracked,"crack, check, break, snap, break through, crack up, crock up, break up, collapse, chapped, cracked, roughened, alligatored, balmy, barmy, bats, batty, bonkers, buggy, crackers, daft, dotty, fruity, haywire, kooky, kookie, loco, loony, loopy, nuts, nutty, round the bend, around the bend, wacky, whacky"
sank,"sink, drop, drop down, pass, lapse, settle, go down, go under, subside, dip, slump, fall off, slide down, bury"
teeth,"dentition, teeth, tooth"
holding,"retention, keeping, holding, property, belongings, keep, maintain, hold, take hold, throw, have, make, give, have got, deem, view as, take for, harbor, harbour, entertain, nurse, restrain, confine, retain, keep back, hold back, bear, support, sustain, hold up, carry, contain, accommodate, admit, prevail, obtain, take, reserve, book, defend, guard, oblige, bind, obligate, defy, withstand, apply, go for, control, hold in, check, curb, moderate, halt, arrest, declare, adjudge, agree, concur, concord"
head,"head, caput, mind, brain, psyche, nous, chief, top dog, fountainhead, headspring, head word, capitulum, principal, school principal, head teacher, promontory, headland, foreland, forefront, pass, straits, headway, point, question, heading, header, read/write head, drumhead, oral sex, lead, head up, steer, maneuver, manoeuver, manoeuvre, direct, guide, channelize, channelise"
trophy,"trophy, prize"
slid,"skid, slip, slue, slew, slide, slither"
hill,"hill, mound, Hill, J. J. Hill, James Jerome Hill, Benny Hill, Alfred Hawthorne, pitcher's mound"
loose,"free, liberate, release, unloose, unloosen, loose, unleash, let loose, loosen, relax, informal, liberal, lax, unaffixed, slack, open, idle, at large, escaped, on the loose, easy, light, promiscuous, sluttish, wanton"
papers,"document, written document, papers, paper, composition, report, theme, newspaper, newspaper publisher, wallpaper"
million,"million, 1000000, one thousand thousand, meg, billion, trillion, zillion, jillion, gazillion"
pieces,"piece, part, musical composition, opus, composition, piece of music, bit, firearm, small-arm, slice, objet d'art, art object, while, spell, patch, man, assemble, put together, set up, tack, tack together, nibble, pick"
times,"times, multiplication, time, clip, clock time, fourth dimension, meter, metre, prison term, sentence, clock"
loudly,"loudly, loud, aloud, obstreperously, clamorously, forte"
mornings,"morning, morn, morning time, forenoon, good morning, dawn, dawning, aurora, first light, daybreak, break of day, break of the day, dayspring, sunrise, sunup, cockcrow"
jar,"jar, jarful, jolt, jounce, shock, clash, collide, shake up, bump around"
way,"manner, mode, style, way, fashion, means, agency, direction, path, way of life, room, elbow room, right smart"
stayed,"stay, remain, rest, stick, stick around, stay put, bide, abide, stay on, continue, detain, delay, persist, last out, ride out, outride, quell, appease"
shattered,"shatter, shattered, tattered"
raining,"rain, rain down, raining"
got,"get, acquire, become, go, let, have, receive, find, obtain, incur, arrive, come, bring, convey, fetch, experience, pay back, pay off, fix, make, induce, stimulate, cause, catch, capture, grow, develop, produce, contract, take, drive, aim, arrest, scram, buzz off, fuck off, bugger off, get under one's skin, draw, perplex, vex, stick, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound, get down, begin, start out, start, set about, set out, commence, suffer, sustain, beget, engender, father, mother, sire, generate, bring forth"
sure,"certain, sure, trusted, indisputable, surely, certainly, for sure, for certain, sure enough, sure as shooting"
deal,"deal, trade, business deal, bargain, batch, flock, good deal, great deal, hatful, heap, lot, mass, mess, mickle, mint, mountain, muckle, passel, peck, pile, plenty, pot, quite a little, raft, sight, slew, spate, stack, tidy sum, wad, softwood, hand, cover, treat, handle, plow, address, consider, take, look at, cope, get by, make out, make do, contend, grapple, manage, distribute, administer, mete out, parcel out, dispense, shell out, deal out, dish out, allot, dole out, sell, care, conduct, carry on, share, divvy up, portion out, apportion"
mother,"mother, female parent, fuss, overprotect, beget, get, engender, father, sire, generate, bring forth"
work,"work, piece of work, employment, study, workplace, oeuvre, body of work, do work, act, function, operate, go, run, work on, process, exercise, work out, make, bring, play, wreak, make for, put to work, cultivate, crop, influence, act upon, shape, form, mold, mould, forge, knead, exploit, solve, figure out, puzzle out, lick, ferment, sour, turn"
article,"article, clause"
unwrapped,"unwrap, undo, disclose, let on, bring out, reveal, discover, expose, divulge, break, give away, let out, unwrapped"
paper,"paper, composition, report, theme, newspaper, newspaper publisher, wallpaper"
percent,"percentage, percent, per centum, pct"
miserable,"miserable, suffering, wretched, hapless, misfortunate, pathetic, piteous, pitiable, pitiful, poor, abject, low, low-down, scummy, scurvy, deplorable, execrable, woeful, measly, paltry"
tell,"Tell, William Tell, state, say, tell, narrate, recount, recite, order, enjoin, assure, evidence, distinguish, separate, differentiate, secern, secernate, severalize, severalise, tell apart"
camp,"camp, encampment, cantonment, bivouac, clique, coterie, ingroup, inner circle, pack, refugee camp, summer camp, encamp, camp out, tent, camp down, campy"
german,"German, High German, German language"
locked,"lock, engage, mesh, operate, interlock, interlace, lock in, lock away, put away, shut up, shut away, lock up"
knew,"know, cognize, cognise, experience, live, acknowledge, recognize, recognise, sleep together, roll in the hay, love, make out, make love, sleep with, get laid, have sex, do it, be intimate, have intercourse, have it away, have it off, screw, fuck, jazz, eff, hump, lie with, bed, have a go at it, bang, get it on, bonk"
bounced,"bounce, resile, take a hop, spring, bound, rebound, recoil, reverberate, ricochet, jounce"
clock,"clock, time"
oh,"Ohio, Buckeye State, OH"
careless,"careless, regardless"
hi,"hello, hullo, hi, howdy, how-do-you-do, Hawaii, Hawai'i, Aloha State, HI"
retorted,"retort, come back, repay, return, riposte, rejoin"
called,"name, call, telephone, call up, phone, ring, shout, shout out, cry, yell, scream, holler, hollo, squall, send for, visit, call in, address, bid, call off, predict, foretell, prognosticate, forebode, anticipate, promise"
handing,"pass, hand, reach, pass on, turn over, give"
dad,"dad, dada, daddy, pa, papa, pappa, pop"
anymore,"anymore, any longer"
wrapping,"wrapping, wrap, wrapper, swathe, wrap up, wind, roll, twine, envelop, enfold, enwrap, enclose"
purchase,"purchase, leverage, buy"
noticed,"detect, observe, find, discover, notice, mark, note, comment, remark, point out, acknowledge, noticed"
immediately,"immediately, instantly, straightaway, straight off, directly, now, right away, at once, forthwith, like a shot"
reached,"reach, make, attain, hit, arrive at, gain, reach out, get through, get hold of, contact, achieve, accomplish, extend to, touch, get to, progress to, pass, hand, pass on, turn over, give, strive, strain"
crumple,"crumble, crumple, tumble, break down, collapse, buckle, pucker, rumple, cockle, knit, wrinkle, crease, crinkle"
snatched,"snatch, snatch up, snap, kidnap, nobble, abduct"
commies,"communist, commie"
allies,"Allies, allies, ally, friend"
wrapped,"wrap, wrap up, wind, roll, twine, envelop, enfold, enwrap, enclose, cloaked, clothed, draped, mantled, wrapped, captive, absorbed, engrossed, enwrapped, intent"
package,"package, bundle, packet, parcel, software, software program, computer software, software system, software package, box"
growled,"grumble, growl, rumble"
held,"keep, maintain, hold, take hold, throw, have, make, give, have got, deem, view as, take for, harbor, harbour, entertain, nurse, restrain, confine, retain, keep back, hold back, bear, support, sustain, hold up, carry, contain, accommodate, admit, prevail, obtain, take, reserve, book, defend, guard, oblige, bind, obligate, defy, withstand, apply, go for, control, hold in, check, curb, moderate, halt, arrest, declare, adjudge, agree, concur, concord, held"
hand,"hand, manus, mitt, paw, hired hand, hired man, handwriting, script, deal, bridge player, helping hand, pass, reach, pass on, turn over, give"
slammed,"slam, bang, slam dance, mosh, thrash, flap down"
door,"door, doorway, room access, threshold"
stormed,"ramp, rage, storm, force, surprise"
heard,"hear, learn, get word, get wind, pick up, find out, get a line, discover, see, try, listen, take heed, heard"
accuse,"accuse, impeach, incriminate, criminate, charge"
communist,"Communist, communist, commie, communistic"
struck,"strike, affect, impress, move, hit, impinge on, run into, collide with, walk out, fall, shine, come to, fall upon, come upon, light upon, chance upon, come across, chance on, happen upon, attain, discover, scratch, expunge, excise, assume, take, take up, mint, coin, strickle, smitten, stricken, struck"
possibility,"possibility, possibleness, hypothesis, theory, possible action, opening"
took,"take, occupy, use up, lead, direct, conduct, guide, get hold of, assume, acquire, adopt, take on, read, bring, convey, choose, select, pick out, accept, have, fill, consider, deal, look at, necessitate, ask, postulate, need, require, involve, call for, demand, film, shoot, remove, take away, withdraw, consume, ingest, take in, submit, strike, take up, admit, learn, study, claim, exact, make, aim, train, take aim, carry, pack, lease, rent, hire, charter, engage, subscribe, subscribe to, contain, hold, drive, contract, get"
baby,"baby, babe, infant, child, sister, pamper, featherbed, cosset, cocker, coddle, mollycoddle, spoil, indulge"
blanket,"blanket, cover, mantle, across-the-board, all-embracing, all-encompassing, all-inclusive, broad, encompassing, extensive, panoptic, wide"
containing,"incorporate, contain, comprise, hold, bear, carry, control, hold in, check, curb, moderate, take, turn back, arrest, stop, hold back"
dead,"dead, all in, beat, bushed, numb, deadened, idle, stagnant, utter, drained, abruptly, suddenly, short, absolutely, perfectly, utterly"
fish,"fish, Pisces, Fish, Pisces the Fishes, angle"
face,"face, human face, expression, look, aspect, facial expression, side, grimace, font, fount, typeface, case, boldness, nerve, brass, cheek, confront, face up, front, present"
