Word,Synonyms
earlier,"earlier, earliest, early, former, other, before, sooner, in the first place, in the beginning, to begin with, originally"
months,"calendar month, month"
moved,"travel, go, move, locomote, displace, proceed, be active, act, affect, impress, strike, motivate, actuate, propel, prompt, incite, run, make a motion, moved, affected, stirred, touched"
pong,"niff, pong"
ball,"ball, musket ball, globe, orb, testis, testicle, orchis, ballock, bollock, nut, egg, Ball, Lucille Ball, clod, glob, lump, clump, chunk, formal"
finally,"finally, eventually, ultimately, in the end, at last, at long last, last, lastly, in conclusion"
ran,"run, scat, scarper, turn tail, lam, run away, hightail it, bunk, head for the hills, take to the woods, escape, fly the coop, break away, go, pass, lead, extend, operate, flow, feed, course, function, work, range, campaign, play, tend, be given, lean, incline, prevail, persist, die hard, endure, execute, carry, guide, draw, black market, bleed, run for, consort, ply, hunt, hunt down, track down, race, move, melt, melt down, ladder, unravel"
steam,"steam, steamer, steam clean"
anxiety,"anxiety, anxiousness"
page,"page, Page, Sir Frederick Handley Page, Thomas Nelson Page, pageboy, varlet, foliate, paginate"
listed,"list, name, lean, heel, number, listed"
attack,"attack, onslaught, onset, onrush, fire, flak, flack, blast, approach, plan of attack, attempt, tone-beginning, assail, round, lash out, snipe, assault, aggress, set on"
recommended,"recommend, urge, advocate, commend"
spot,"topographic point, place, spot, point, smudge, blot, daub, smear, smirch, slur, speckle, dapple, patch, fleck, maculation, position, post, berth, office, billet, situation, touch, bit, pip, spotlight, stain, descry, espy, spy, recognize, recognise, distinguish, discern, pick out, make out, tell apart, blemish, blob"
goodness,"good, goodness"
like,"like, the like, the likes of, ilk, wish, care, similar, same, alike, comparable, corresponding"
motorized,"motorize, mechanize, mechanise, motorise, motorized, motorised, motored, mechanized, mechanised"
fries,"french fries, french-fried potatoes, fries, chips, Fry, Roger Fry, Roger Eliot Fry, Christopher Fry, child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling, electrocute"
went,"travel, go, move, locomote, proceed, go away, depart, become, get, run, pass, lead, extend, sound, function, work, operate, run low, run short, survive, last, live, live on, endure, hold up, hold out, die, decease, perish, exit, pass away, expire, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it, belong, start, get going, blend, blend in, fit, rifle, plump, fail, go bad, give way, give out, conk out, break, break down"
oh,"Ohio, Buckeye State, OH"
better,"better, bettor, wagerer, punter, break, improve, amend, ameliorate, meliorate, best, good, full, estimable, honorable, respectable, beneficial, just, upright, adept, expert, practiced, proficient, skillful, skilful, dear, near, dependable, safe, secure, right, ripe, well, effective, in effect, in force, serious, sound, salutary, honest, undecomposed, unspoiled, unspoilt, easily, considerably, substantially, intimately, advantageously, comfortably"
invented,"invent, contrive, devise, excogitate, formulate, forge, fabricate, manufacture, cook up, make up"
think,"think, believe, consider, conceive, opine, suppose, imagine, reckon, guess, cogitate, cerebrate, remember, retrieve, recall, call back, call up, recollect, intend, mean"
got,"get, acquire, become, go, let, have, receive, find, obtain, incur, arrive, come, bring, convey, fetch, experience, pay back, pay off, fix, make, induce, stimulate, cause, catch, capture, grow, develop, produce, contract, take, drive, aim, arrest, scram, buzz off, fuck off, bugger off, get under one's skin, draw, perplex, vex, stick, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound, get down, begin, start out, start, set about, set out, commence, suffer, sustain, beget, engender, father, mother, sire, generate, bring forth"
lumbered,"lumber, pound, log"
cold,"cold, common cold, coldness, low temperature, frigidity, frigidness, stale, dusty, moth-eaten, frigid, cold-blooded, inhuman, insensate"
frolicking,"frolic, lark, rollick, skylark, disport, sport, cavort, gambol, frisk, romp, run around, lark about"
flying,"flight, flying, fly, wing, aviate, pilot, fell, vanish, flee, take flight, vaporize, fast-flying, quick, fast"
started,"get down, begin, get, start out, start, set about, set out, commence, lead off, depart, part, set forth, set off, take off, originate, initiate, start up, embark on, startle, jump, go, get going, take up, protrude, pop, pop out, bulge, bulge out, bug out, come out"
friend,"friend, ally, acquaintance, supporter, protagonist, champion, admirer, booster, Friend, Quaker"
mean,"mean, mean value, intend, entail, imply, signify, stand for, think, think of, have in mind, average, hateful, base, meanspirited, beggarly, mingy, miserly, tight, bastardly"
trip,"trip, slip, head trip, tripper, trip-up, stumble, misstep, trip up, travel, jaunt, actuate, trigger, activate, set off, spark off, spark, trigger off, touch off, trip out, turn on, get off"
summer,"summer, summertime"
years,"old age, years, age, eld, geezerhood, long time, days, year, twelvemonth, yr, class"
divorced,"disassociate, dissociate, divorce, disunite, disjoint, split up, divorced"
happily,"happily, merrily, mirthfully, gayly, blithely, jubilantly"
they’d,
father,"father, male parent, begetter, forefather, sire, Father, Padre, Church Father, Father of the Church, Father-God, Fatherhood, founder, beginner, founding father, don, beget, get, engender, mother, generate, bring forth"
backpacking,"packing, backpacking, backpack, pack"
grandparents,grandparent
tried,"try, seek, attempt, essay, assay, test, prove, try out, examine, judge, adjudicate, sample, taste, hear, strain, stress, render, try on, tested, tried, well-tried, time-tested, tried and true"
visit,"visit, sojourn, see, travel to, call in, call, inspect, inflict, bring down, impose, chew the fat, shoot the breeze, chat, confabulate, confab, chitchat, chit-chat, chatter, chaffer, natter, gossip, jaw, claver"
wanted,"desire, want, need, require, wanted, cherished, precious, treasured"
point,"point, detail, item, degree, level, stage, point in time, tip, peak, dot, spot, compass point, period, full stop, stop, full point, head, decimal point, percentage point, pointedness, gunpoint, power point, distributor point, breaker point, indicate, designate, show, orient, charge, steer, maneuver, manoeuver, manoeuvre, direct, guide, channelize, channelise, bespeak, betoken, signal, luff, target, aim, place, sharpen, taper, repoint"
written,"write, compose, pen, indite, publish, drop a line, save, spell, written, scripted"
plan,"plan, program, programme, design, architectural plan, be after, project, contrive"
told,"state, say, tell, narrate, recount, recite, order, enjoin, assure, evidence, distinguish, separate, differentiate, secern, secernate, severalize, severalise, tell apart"
distract,"distract, deflect, perturb, unhinge, disquiet, trouble, cark, disorder"
town,"town, townspeople, townsfolk, township, Town, Ithiel Town"
kid,"child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling, kidskin, Kyd, Kid, Thomas Kyd, Thomas Kid, pull the leg of, chaff, jolly, josh, banter"
machine,"machine, simple machine, political machine, car, auto, automobile, motorcar"
ray,"beam, beam of light, light beam, ray, ray of light, shaft, shaft of light, irradiation, electron beam, re, radiate, irradiate"
bones,"bones, castanets, clappers, finger cymbals, bone, os, osseous tissue, ivory, pearl, off-white, cram, grind away, drum, bone up, swot, get up, mug up, swot up, debone"
photos,"photograph, photo, exposure, picture, pic"
bazillion,
took,"take, occupy, use up, lead, direct, conduct, guide, get hold of, assume, acquire, adopt, take on, read, bring, convey, choose, select, pick out, accept, have, fill, consider, deal, look at, necessitate, ask, postulate, need, require, involve, call for, demand, film, shoot, remove, take away, withdraw, consume, ingest, take in, submit, strike, take up, admit, learn, study, claim, exact, make, aim, train, take aim, carry, pack, lease, rent, hire, charter, engage, subscribe, subscribe to, contain, hold, drive, contract, get"
story,"narrative, narration, story, tale, floor, level, storey, history, account, chronicle, report, news report, write up, fib, tarradiddle, taradiddle"
dad,"dad, dada, daddy, pa, papa, pappa, pop"
women,"woman, adult female, charwoman, char, cleaning woman, cleaning lady, womanhood, fair sex"
pregnant,"pregnant, meaning, significant, fraught"
babies,"baby, babe, infant, child, sister, pamper, featherbed, cosset, cocker, coddle, mollycoddle, spoil, indulge"
people,"people, citizenry, multitude, masses, mass, hoi polloi, the great unwashed"
old,"old, older, erstwhile, former, onetime, one-time, quondam, sometime, honest-to-god, honest-to-goodness, sure-enough, Old, previous"
problem,"problem, job, trouble"
day,"day, twenty-four hours, twenty-four hour period, 24-hour interval, solar day, mean solar day, daytime, daylight, sidereal day, Day, Clarence Day, Clarence Shepard Day Jr."
foot,"foot, human foot, pes, ft, animal foot, foundation, base, fundament, groundwork, substructure, understructure, invertebrate foot, infantry, metrical foot, metrical unit, pick, leg it, hoof, hoof it, foot up"
x,"ten, 10, X, tenner, decade, x, ex, Adam, ecstasy, XTC, go, disco biscuit, cristal, hug drug"
floor,"floor, flooring, level, storey, story, base, trading floor, shock, ball over, blow out of the water, take aback, deck, coldcock, dump, knock down"
room,"room, way, elbow room, board"
locker,"cabinet, locker, storage locker, footlocker"
surfaces,"surface, Earth's surface, open, airfoil, aerofoil, control surface, come up, rise up, rise, coat, come on, come out, turn up, show up"
contaminated,"pollute, foul, contaminate, contaminated, polluted"
touching,"touch, touching, stir, refer, pertain, relate, concern, come to, bear on, touch on, have-to doe with, adjoin, meet, contact, affect, impact, bear upon, reach, extend to, equal, rival, match, disturb, allude, advert, partake, tint, tinct, tinge, affecting, poignant"
caught,"catch, pick up, get, grab, take hold of, capture, hitch, arrest, overtake, catch up with, take in, overhear, watch, view, see, trip up, enamour, trance, becharm, enamor, captivate, beguile, charm, fascinate, bewitch, entrance, enchant"
viruses,"virus, computer virus"
caused,"cause, do, make, induce, stimulate, have, get"
warts,"wart, verruca"
section,"section, subdivision, segment, part, division, plane section, discussion section, department, incision, surgical incision"
children,"child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling, baby"
happy,"happy, felicitous, glad, well-chosen"
week,"week, hebdomad, workweek, calendar week"
enormous,"enormous, tremendous"
opened,"open, open up, unfold, spread, spread out, afford, give, opened"
door,"door, doorway, room access, threshold"
compartments,compartment
previous,"previous, old, former, late, premature"
riders,"rider, passenger"
sat,"Saturday, Sabbatum, Sat, sit, sit down, sit around, model, pose, posture, ride, baby-sit, seat"
attendant,"attendant, attender, tender, attendee, meeter, accompaniment, concomitant, co-occurrence, consequent, accompanying, incidental, ensuant, resultant, sequent"
perched,"perch, roost, rest, alight, light"
end,"end, terminal, ending, last, final stage, goal, destruction, death, conclusion, close, closing, remainder, remnant, oddment, stop, finish, terminate, cease"
pulled,"pull, draw, force, attract, pull in, draw in, perpetrate, commit, pull out, get out, take out, overstretch, rend, rip, rive, pluck, tear, deplume, deplumate, displume, extract, pull up, draw out, root for"
book,"book, volume, record, record book, script, playscript, ledger, leger, account book, book of account, rule book, Koran, Quran, al-Qur'an, Book, Bible, Christian Bible, Good Book, Holy Scripture, Holy Writ, Scripture, Word of God, Word, reserve, hold"
white,"White, White person, Caucasian, white, whiteness, Edward White, Edward D. White, Edward Douglas White Jr., Patrick White, Patrick Victor Martindale White, T. H. White, Theodore Harold White, Stanford White, E. B. White, Elwyn Brooks White, Andrew D. White, Andrew Dickson White, White River, egg white, albumen, ovalbumin, flannel, gabardine, tweed, whiten, snowy, lily-white, white-hot, blank, clean, whitened, ashen, blanched, bloodless, livid"
red,"red, redness, Red, Red River, Bolshevik, Marxist, bolshie, bolshy, loss, red ink, reddish, ruddy, blood-red, carmine, cerise, cherry, cherry-red, crimson, ruby, ruby-red, scarlet, violent, reddened, red-faced, flushed"
wheel,"wheel, steering wheel, roulette wheel, rack, bicycle, bike, cycle, wheel around, roll, pedal"
flag,"flag, masthead, iris, fleur-de-lis, sword lily, signal flag, pin, flagstone, sag, droop, swag, ease up, ease off, slacken off"
bench,"bench, terrace, judiciary, workbench, work bench, Bench"
world,"universe, existence, creation, world, cosmos, macrocosm, domain, reality, Earth, earth, globe, populace, public, worldly concern, earthly concern, human race, humanity, humankind, human beings, humans, mankind, man, global, planetary, worldwide, world-wide"
rates,"rates, rate, charge per unit, pace, rank, range, order, grade, place, value, rat, fink, scab, blackleg, denounce, tell on, betray, give away, grass, shit, shop, snitch, stag"
homicide,homicide
meine,
exclaimed,"exclaim, cry, cry out, outcry, call out, shout, proclaim, promulgate"
reminded,"remind, prompt, cue"
traveling,"travel, traveling, travelling, go, move, locomote, journey, trip, jaunt, move around"
carnivals,"carnival, circus, fair, funfair"
rides,"drive, ride, sit, tease, razz, rag, cod, tantalize, tantalise, bait, taunt, twit, rally, depend on, devolve on, depend upon, turn on, hinge on, hinge upon, mount, rid, free, disembarrass"
inspected,"inspect, visit, audit, scrutinize, scrutinise"
said,"state, say, tell, allege, aver, suppose, read, order, enjoin, pronounce, articulate, enounce, sound out, enunciate, aforesaid, aforementioned, said"
lowest,"last, last-place, lowest, low, low-toned, low-pitched, abject, low-down, miserable, scummy, scurvy, humble, lowly, modest, small, depleted, broken, crushed, humbled, humiliated, gloomy, grim, blue, depressed, dispirited, down, downcast, downhearted, down in the mouth, low-spirited"
austrian,Austrian
streetcars,"streetcar, tram, tramcar, trolley, trolley car"
speaking,"speaking, speech production, public speaking, speechmaking, oral presentation, talk, speak, utter, mouth, verbalize, verbalise, address"
reading,"reading, meter reading, indication, reading material, interpretation, version, Reading, recitation, recital, read, say, scan, take, learn, study, register, show, record, understand, interpret, translate"
couch,"sofa, couch, lounge, frame, redact, cast, put"
sitting,"sitting, posing, seance, session, sit, sit down, sit around, model, pose, posture, ride, baby-sit, seat, seated"
pictured,"visualize, visualise, envision, project, fancy, see, figure, picture, image, depict, render, show, envisioned, pictured, visualized, visualised, depicted, portrayed"
nanny,"nanny, nursemaid, nurse, nanny-goat, she-goat"
gotten,"get, acquire, become, go, let, have, receive, find, obtain, incur, arrive, come, bring, convey, fetch, experience, pay back, pay off, fix, make, induce, stimulate, cause, catch, capture, grow, develop, produce, contract, take, drive, aim, arrest, scram, buzz off, fuck off, bugger off, get under one's skin, draw, perplex, vex, stick, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound, get down, begin, start out, start, set about, set out, commence, suffer, sustain, beget, engender, father, mother, sire, generate, bring forth"
breaths,"breath, breather, breathing place, breathing space, breathing spell, breathing time, hint, intimation"
taught,"teach, learn, instruct"
takes,"return, issue, take, takings, proceeds, yield, payoff, occupy, use up, lead, direct, conduct, guide, get hold of, assume, acquire, adopt, take on, read, bring, convey, choose, select, pick out, accept, have, fill, consider, deal, look at, necessitate, ask, postulate, need, require, involve, call for, demand, film, shoot, remove, take away, withdraw, consume, ingest, take in, submit, strike, take up, admit, learn, study, claim, exact, make, aim, train, take aim, carry, pack, lease, rent, hire, charter, engage, subscribe, subscribe to, contain, hold, drive, contract, get"
sure,"certain, sure, trusted, indisputable, surely, certainly, for sure, for certain, sure enough, sure as shooting"
wet,"moisture, wet, lactating, besotted, blind drunk, blotto, crocked, cockeyed, fuddled, loaded, pie-eyed, pissed, pixilated, plastered, slopped, sloshed, smashed, soaked, soused, sozzled, squiffy, stiff, tight"
towel,towel
squeeze,"squeeze, squeezing, credit crunch, liquidity crisis, wring, power play, squeeze play, hug, clinch, squash, crush, squelch, mash, wedge, force, coerce, hale, pressure, extort, rack, gouge, thrust, stuff, shove, pinch, twinge, tweet, nip, twitch, embrace, bosom, compress, constrict, compact, contract, press"
water,"water, H2O, body of water, water system, water supply, urine, piss, pee, piddle, weewee, irrigate"
movies,"movie, film, picture, moving picture, moving-picture show, motion picture, motion-picture show, picture show, pic, flick"
original,"master, master copy, original, archetype, pilot"
language,"language, linguistic communication, speech, speech communication, spoken communication, spoken language, voice communication, oral communication, lyric, words, linguistic process, terminology, nomenclature"
german,"German, High German, German language"
subtitles,"subtitle, caption"
dubbed,"dub, nickname, knight"
american,"American, American English, American language"
likes,"like, the like, the likes of, ilk, wish, care"
imagine,"imagine, conceive of, ideate, envisage, think, opine, suppose, reckon, guess"
english,"English, English language, English people, side"
theater,"theater, theatre, house, dramaturgy, dramatic art, dramatics, field, field of operations, theater of operations, theatre of operations"
big,"large, big, bad, prominent, heavy, boastful, braggart, bragging, braggy, cock-a-hoop, crowing, self-aggrandizing, self-aggrandising, swelled, vainglorious, adult, full-grown, fully grown, grown, grownup, magnanimous, bighearted, bounteous, bountiful, freehanded, handsome, giving, liberal, openhanded, enceinte, expectant, gravid, great, with child, boastfully, vauntingly"
scene,"scene, view, aspect, prospect, vista, panorama, shot, picture, fit, tantrum, conniption, setting, scenery"
returned,"return, render, revert, retrovert, regress, turn back, hark back, come back, recall, take back, bring back, retort, repay, riposte, rejoin, refund, give back, deliver, reelect, fall, pass, devolve, yield, give, generate"
smiling,"smile, smiling, grin, grinning, beamish, twinkly"
roller,"roller, roll, rolling wave, curler, hair curler, crimper, tumbler, tumbler pigeon"
coaster,coaster
forced,"coerce, hale, squeeze, pressure, force, impel, push, thrust, wedge, drive, ram, pull, draw, storm, forced, constrained, strained"
stand,"base, pedestal, stand, rack, standstill, tie-up, point of view, viewpoint, standpoint, stall, sales booth, bandstand, outdoor stage, stand up, remain firm, digest, endure, stick out, stomach, bear, tolerate, support, brook, abide, suffer, put up, place upright, resist, fend"
hey,
film,"movie, film, picture, moving picture, moving-picture show, motion picture, motion-picture show, picture show, pic, flick, cinema, celluloid, photographic film, plastic film, shoot, take"
poster,"poster, posting, placard, notice, bill, card, bill poster, bill sticker, post horse, post-horse"
movie,"movie, film, picture, moving picture, moving-picture show, motion picture, motion-picture show, picture show, pic, flick"
watched,"watch, observe, follow, watch over, keep an eye on, view, see, catch, take in, look on, look out, watch out, determine, check, find out, ascertain, learn"
rocket,"rocket, projectile, rocket engine, roquette, garden rocket, rocket salad, arugula, Eruca sativa, Eruca vesicaria sativa, skyrocket"
ship,"ship, transport, send, embark"
dip,"dip, angle of dip, magnetic dip, magnetic inclination, inclination, pickpocket, cutpurse, drop, fall, free fall, plunge, dunk, souse, douse, dim, sink, duck"
turn,"bend, crook, twist, turn, turning, play, turn of events, go, spell, tour, bout, round, act, routine, number, bit, good turn, change state, become, change by reversal, reverse, move around, grow, release, turn over, plow, plough, sprain, wrench, wrick, rick, flex, deform, call on, sour, ferment, work"
booth,"booth, cubicle, stall, kiosk, Booth, John Wilkes Booth"
selling,"selling, merchandising, marketing, sell, deal, trade, betray"
tickets,"ticket, tag, slate, just the ticket, fine"
noticed,"detect, observe, find, discover, notice, mark, note, comment, remark, point out, acknowledge, noticed"
towering,"loom, tower, predominate, hulk, eminent, lofty, soaring, towering"
home,"home, place, dwelling, domicile, abode, habitation, dwelling house, home plate, home base, plate, base, family, household, house, menage, nursing home, rest home, interior, internal, national"
parts,"parts, part, portion, component part, component, constituent, piece, region, function, office, role, character, theatrical role, persona, share, percentage, section, division, parting, voice, contribution, separate, split, split up, break, break up, depart, start, start out, set forth, set off, set out, take off, divide, disunite"
fun,"fun, merriment, playfulness, play, sport"
singing,"singing, vocalizing, tattle, telling, sing, whistle, spill the beans, let the cat out of the bag, talk, blab, peach, babble, babble out, blab out, singe, swinge, scorch, sear, cantabile"
starts,"start, beginning, commencement, first, outset, get-go, kickoff, starting time, showtime, offset, starting, startle, jump, starting line, scratch, scratch line, starting signal, head start, get down, begin, get, start out, set about, set out, commence, lead off, depart, part, set forth, set off, take off, originate, initiate, start up, embark on, go, get going, take up, protrude, pop, pop out, bulge, bulge out, bug out, come out"
randomly,"randomly, indiscriminately, haphazardly, willy-nilly, arbitrarily, at random, every which way"
character,"fictional character, fictitious character, character, quality, lineament, fiber, fibre, role, theatrical role, part, persona, eccentric, type, case, reference, character reference, grapheme, graphic symbol"
awkward,"awkward, bunglesome, clumsy, ungainly, cumbersome, inapt, inept, ill-chosen, embarrassing, sticky, unenviable, ill at ease, uneasy"
ones,"one, 1, I, ace, single, unity"
regulated,"regulate, modulate, regularize, regularise, order, govern, determine, shape, mold, influence, baffle, regulated"
heavily,"heavily, to a great extent, heavy, intemperately, hard"
pretty,"pretty, reasonably, moderately, jolly, somewhat, fairly, middling, passably"
parks,"Parks, Rosa Parks, park, parkland, commons, common, green, ballpark, Park, Mungo Park, parking lot, car park, parking area"
amusement,"amusement, entertainment"
deep,"deep, trench, oceanic abyss, bass, rich, thick, cryptic, cryptical, inscrutable, mysterious, mystifying, abstruse, recondite, deeply, late"
alles,
finished,"complete, finish, finish up, land up, fetch up, end up, wind up, end, stop, terminate, cease, eat up, polish off, finished, ruined"
whispering,"rustle, rustling, whisper, whispering, susurration, voicelessness, murmuring, susurrant"
pages,"page, Page, Sir Frederick Handley Page, Thomas Nelson Page, pageboy, varlet, foliate, paginate"
fan,"fan, sports fan, rooter, buff, devotee, lover, winnow"
plays,"play, drama, dramatic play, maneuver, manoeuvre, bid, child's play, playing period, period of play, free rein, shimmer, fun, sport, looseness, frolic, romp, gambol, caper, turn, gambling, gaming, swordplay, act, represent, spiel, act as, recreate, toy, run, fiddle, diddle, dally, trifle, flirt, roleplay, playact, bring, work, wreak, make for, bet, wager, meet, encounter, take on"
pockets,"pocket, pouch, sac, sack, scoop, air pocket, air hole, bag"
hands,"hands, custody, work force, workforce, manpower, men, hand, manus, mitt, paw, hired hand, hired man, handwriting, script, deal, bridge player, helping hand, pass, reach, pass on, turn over, give"
kept,"keep, maintain, hold, continue, go on, proceed, go along, hold on, prevent, observe, retain, keep on, sustain, stay fresh, celebrate, restrain, keep back, hold back, preserve, keep open, hold open, save, unbroken, kept"
age,"age, historic period, eld, long time, years, old age, geezerhood, senesce, get on, mature, maturate"
girl,"girl, miss, missy, young lady, young woman, fille, female child, little girl, daughter, girlfriend, lady friend"
boy,"male child, boy, son"
teenagers,"adolescent, stripling, teenager, teen"
stroller,"saunterer, stroller, ambler, baby buggy, baby carriage, carriage, perambulator, pram, go-cart, pushchair, pusher"
sleeping,"sleeping, quiescence, quiescency, dormancy, sleep, kip, slumber, log Z's, catch some Z's, dormant"
toddler,"toddler, yearling, tot, bambino"
mother,"mother, female parent, fuss, overprotect, beget, get, engender, father, sire, generate, bring forth"
ich,
irgendwie,
guy,"guy, cat, hombre, bozo, Guy, guy cable, guy wire, guy rope, ridicule, roast, blackguard, laugh at, jest at, rib, make fun, poke fun"
meant,"mean, intend, entail, imply, signify, stand for, think, think of, have in mind"
nearly,"about, almost, most, nearly, near, nigh, virtually, well-nigh, closely, intimately"
sit,"sit, sit down, sit around, model, pose, posture, ride, baby-sit, seat"
minutes,"minutes, proceedings, transactions, minute, min, moment, mo, second, bit, instant, arcminute, minute of arc, hour"
moving,"travel, go, move, locomote, displace, proceed, be active, act, affect, impress, strike, motivate, actuate, propel, prompt, incite, run, make a motion, moving"
stopped,"stop, halt, discontinue, cease, give up, quit, lay off, block, kibosh, stop over, break, break off, check, turn back, arrest, contain, hold back, intercept, end, finish, terminate, barricade, blockade, block off, block up, bar, hold on, stopped, stopped-up, stopped up"
care,"care, attention, aid, tending, caution, precaution, forethought, concern, fear, charge, tutelage, guardianship, maintenance, upkeep, give care, wish, like, manage, deal, handle, worry"
dots,"point, dot, Department of Transportation, Transportation, DoT, dit, acid, back breaker, battery-acid, dose, Elvis, loony toons, Lucy in the sky with diamonds, pane, superman, window pane, Zen, stud, constellate, scatter, sprinkle, dust, disperse"
