chapter_number,chapter_title,tokens,pos,lemma,tag,dep,sentence,title,ent_word,ent_label
Chapter 7,the Yo-Yos,Eddie,PROPN,eddie,NNP,nsubj,"
    “I’m Eddie Sullivan, sir,” Eddie said.",,Eddie Sullivan,PERSON
Chapter 7,the Yo-Yos,said,VERB,say,VBD,ROOT,"
    “I’m Eddie Sullivan, sir,” Eddie said.",,,
Chapter 1,t[CE2]he Paper[KL3],summer,NOUN,summer,NN,pobj,"He was only twelve, but over the summer he’d grown so much, he looked big enough to be in high school.",,the summer,DATE
Chapter 1,t[CE2]he Paper[KL3],grown,VERB,grow,VBD,conj,"He was only twelve, but over the summer he’d grown so much, he looked big enough to be in high school.",,,
Chapter 1,t[CE2]he Paper[KL3],looked,VERB,look,VBD,conj,"He was only twelve, but over the summer he’d grown so much, he looked big enough to be in high school.",,,
Chapter 1,t[CE2]he Paper[KL3],big,ADJ,big,JJ,acomp,"He was only twelve, but over the summer he’d grown so much, he looked big enough to be in high school.",,,
Chapter 1,t[CE2]he Paper[KL3],high,ADJ,high,JJ,amod,"He was only twelve, but over the summer he’d grown so much, he looked big enough to be in high school.",,,
Chapter 1,t[CE2]he Paper[KL3],school,NOUN,school,NN,pobj,"He was only twelve, but over the summer he’d grown so much, he looked big enough to be in high school.",,,
Chapter 5,the Paper Route,visits,VERB,visit,VBZ,ROOT,He visits in the summer.,,,
Chapter 5,the Paper Route,summer,NOUN,summer,NN,pobj,He visits in the summer.,,the summer,DATE
Chapter 13,the Deal,visited,VERB,visit,VBD,ROOT,"He only visited them on holidays and in the summer, and yet they were willing to pay for the magazine for the whole year.",,,
Chapter 13,the Deal,holidays,NOUN,holiday,NNS,pobj,"He only visited them on holidays and in the summer, and yet they were willing to pay for the magazine for the whole year.",,,
Chapter 13,the Deal,summer,NOUN,summer,NN,pobj,"He only visited them on holidays and in the summer, and yet they were willing to pay for the magazine for the whole year.",,the summer,DATE
Chapter 13,the Deal,willing,ADJ,willing,JJ,acomp,"He only visited them on holidays and in the summer, and yet they were willing to pay for the magazine for the whole year.",,,
Chapter 13,the Deal,pay,VERB,pay,VB,xcomp,"He only visited them on holidays and in the summer, and yet they were willing to pay for the magazine for the whole year.",,,
Chapter 13,the Deal,magazine,NOUN,magazine,NN,pobj,"He only visited them on holidays and in the summer, and yet they were willing to pay for the magazine for the whole year.",,,
Chapter 13,the Deal,year,NOUN,year,NN,pobj,"He only visited them on holidays and in the summer, and yet they were willing to pay for the magazine for the whole year.",,the whole year,DATE
Chapter 1,t[CE2]he Paper[KL3],Surrender,VERB,surrender,VB,nmod,"
    “Surrender, you little commie,” Eddie said, “and I might let you live!”",,Surrender,PERSON
Chapter 1,t[CE2]he Paper[KL3],little,ADJ,little,JJ,amod,"
    “Surrender, you little commie,” Eddie said, “and I might let you live!”",,,
Chapter 1,t[CE2]he Paper[KL3],commie,NOUN,commie,NN,ROOT,"
    “Surrender, you little commie,” Eddie said, “and I might let you live!”",,,
Chapter 1,t[CE2]he Paper[KL3],Eddie,PROPN,eddie,NNP,nsubj,"
    “Surrender, you little commie,” Eddie said, “and I might let you live!”",,,
Chapter 1,t[CE2]he Paper[KL3],said,VERB,say,VBD,parataxis,"
    “Surrender, you little commie,” Eddie said, “and I might let you live!”",,,
Chapter 1,t[CE2]he Paper[KL3],let,VERB,let,VB,conj,"
    “Surrender, you little commie,” Eddie said, “and I might let you live!”",,,
Chapter 1,t[CE2]he Paper[KL3],live,VERB,live,VB,ccomp,"
    “Surrender, you little commie,” Eddie said, “and I might let you live!”",,,
Chapter 1,t[CE2]he Paper[KL3],Eddie,PROPN,eddie,NNP,nsubj,"
    Eddie pretended to shoot me with the newspaper.",,Eddie,PERSON
Chapter 1,t[CE2]he Paper[KL3],pretended,VERB,pretend,VBD,ROOT,"
    Eddie pretended to shoot me with the newspaper.",,,
Chapter 1,t[CE2]he Paper[KL3],shoot,VERB,shoot,VB,xcomp,"
    Eddie pretended to shoot me with the newspaper.",,,
Chapter 1,t[CE2]he Paper[KL3],newspaper,NOUN,newspaper,NN,pobj,"
    Eddie pretended to shoot me with the newspaper.",,,
Chapter 1,t[CE2]he Paper[KL3],Eddie,PROPN,eddie,NNP,nsubj,"
    Eddie grabbed one of my shoes and started to pull.",,Eddie,PERSON
Chapter 1,t[CE2]he Paper[KL3],grabbed,VERB,grab,VBD,ROOT,"
    Eddie grabbed one of my shoes and started to pull.",,,
Chapter 1,t[CE2]he Paper[KL3],shoes,NOUN,shoe,NNS,pobj,"
    Eddie grabbed one of my shoes and started to pull.",,,
Chapter 1,t[CE2]he Paper[KL3],started,VERB,start,VBD,conj,"
    Eddie grabbed one of my shoes and started to pull.",,,
Chapter 1,t[CE2]he Paper[KL3],pull,VERB,pull,VB,xcomp,"
    Eddie grabbed one of my shoes and started to pull.",,,
Chapter 1,t[CE2]he Paper[KL3],Eddie,PROPN,eddie,NNP,nsubj,"Eddie and I had spent all morning following the collection truck, watching his father swing the piles onto the truck bed.",,Eddie,PERSON
Chapter 1,t[CE2]he Paper[KL3],spent,VERB,spend,VBN,ROOT,"Eddie and I had spent all morning following the collection truck, watching his father swing the piles onto the truck bed.",,,
Chapter 1,t[CE2]he Paper[KL3],morning,NOUN,morning,NN,npadvmod,"Eddie and I had spent all morning following the collection truck, watching his father swing the piles onto the truck bed.",,all morning,TIME
Chapter 1,t[CE2]he Paper[KL3],following,VERB,follow,VBG,prep,"Eddie and I had spent all morning following the collection truck, watching his father swing the piles onto the truck bed.",,,
Chapter 1,t[CE2]he Paper[KL3],collection,NOUN,collection,NN,compound,"Eddie and I had spent all morning following the collection truck, watching his father swing the piles onto the truck bed.",,,
Chapter 1,t[CE2]he Paper[KL3],truck,NOUN,truck,NN,pobj,"Eddie and I had spent all morning following the collection truck, watching his father swing the piles onto the truck bed.",,,
Chapter 1,t[CE2]he Paper[KL3],watching,VERB,watch,VBG,advcl,"Eddie and I had spent all morning following the collection truck, watching his father swing the piles onto the truck bed.",,,
Chapter 1,t[CE2]he Paper[KL3],father,NOUN,father,NN,nsubj,"Eddie and I had spent all morning following the collection truck, watching his father swing the piles onto the truck bed.",,,
Chapter 1,t[CE2]he Paper[KL3],swing,VERB,swing,VB,ccomp,"Eddie and I had spent all morning following the collection truck, watching his father swing the piles onto the truck bed.",,,
Chapter 1,t[CE2]he Paper[KL3],piles,NOUN,pile,NNS,dobj,"Eddie and I had spent all morning following the collection truck, watching his father swing the piles onto the truck bed.",,,
Chapter 1,t[CE2]he Paper[KL3],truck,NOUN,truck,NN,compound,"Eddie and I had spent all morning following the collection truck, watching his father swing the piles onto the truck bed.",,,
Chapter 1,t[CE2]he Paper[KL3],bed,NOUN,bed,NN,pobj,"Eddie and I had spent all morning following the collection truck, watching his father swing the piles onto the truck bed.",,,
Chapter 1,t[CE2]he Paper[KL3],waiting,VERB,wait,VBG,advcl,"While we were waiting for our turn on the scale, Eddie and I climbed onto our truck and started poking around.",,,
Chapter 1,t[CE2]he Paper[KL3],turn,NOUN,turn,NN,pobj,"While we were waiting for our turn on the scale, Eddie and I climbed onto our truck and started poking around.",,,
Chapter 1,t[CE2]he Paper[KL3],scale,NOUN,scale,NN,pobj,"While we were waiting for our turn on the scale, Eddie and I climbed onto our truck and started poking around.",,,
Chapter 1,t[CE2]he Paper[KL3],Eddie,PROPN,eddie,NNP,nsubj,"While we were waiting for our turn on the scale, Eddie and I climbed onto our truck and started poking around.",,Eddie,PERSON
Chapter 1,t[CE2]he Paper[KL3],climbed,VERB,climb,VBD,ROOT,"While we were waiting for our turn on the scale, Eddie and I climbed onto our truck and started poking around.",,,
Chapter 1,t[CE2]he Paper[KL3],truck,NOUN,truck,NN,pobj,"While we were waiting for our turn on the scale, Eddie and I climbed onto our truck and started poking around.",,,
Chapter 1,t[CE2]he Paper[KL3],started,VERB,start,VBD,conj,"While we were waiting for our turn on the scale, Eddie and I climbed onto our truck and started poking around.",,,
Chapter 1,t[CE2]he Paper[KL3],poking,VERB,poke,VBG,xcomp,"While we were waiting for our turn on the scale, Eddie and I climbed onto our truck and started poking around.",,,
Chapter 1,t[CE2]he Paper[KL3],Eddie,PROPN,eddie,NNP,nsubj,"Eddie was standing on top of the pile, holding the shoe over his head like a trophy.",,Eddie,PERSON
Chapter 1,t[CE2]he Paper[KL3],standing,VERB,stand,VBG,ROOT,"Eddie was standing on top of the pile, holding the shoe over his head like a trophy.",,,
Chapter 1,t[CE2]he Paper[KL3],pile,NOUN,pile,NN,pobj,"Eddie was standing on top of the pile, holding the shoe over his head like a trophy.",,,
Chapter 1,t[CE2]he Paper[KL3],holding,VERB,hold,VBG,advcl,"Eddie was standing on top of the pile, holding the shoe over his head like a trophy.",,,
Chapter 1,t[CE2]he Paper[KL3],shoe,NOUN,shoe,NN,dobj,"Eddie was standing on top of the pile, holding the shoe over his head like a trophy.",,,
Chapter 1,t[CE2]he Paper[KL3],head,NOUN,head,NN,pobj,"Eddie was standing on top of the pile, holding the shoe over his head like a trophy.",,,
Chapter 1,t[CE2]he Paper[KL3],like,ADP,like,IN,prep,"Eddie was standing on top of the pile, holding the shoe over his head like a trophy.",,,
Chapter 1,t[CE2]he Paper[KL3],trophy,NOUN,trophy,NN,pobj,"Eddie was standing on top of the pile, holding the shoe over his head like a trophy.",,,
Chapter 1,t[CE2]he Paper[KL3],Eddie,PROPN,eddie,NNP,ROOT,"
    “Eddie!”",,Eddie,PERSON
Chapter 1,t[CE2]he Paper[KL3],Eddie,PROPN,eddie,NNP,nsubj,"
    Eddie slid down the hill, loose papers flying around him.",,Eddie,PERSON
Chapter 1,t[CE2]he Paper[KL3],slid,VERB,slide,VBD,ROOT,"
    Eddie slid down the hill, loose papers flying around him.",,,
Chapter 1,t[CE2]he Paper[KL3],hill,NOUN,hill,NN,pobj,"
    Eddie slid down the hill, loose papers flying around him.",,,
Chapter 1,t[CE2]he Paper[KL3],loose,ADJ,loose,JJ,amod,"
    Eddie slid down the hill, loose papers flying around him.",,,
Chapter 1,t[CE2]he Paper[KL3],papers,NOUN,paper,NNS,dep,"
    Eddie slid down the hill, loose papers flying around him.",,,
Chapter 1,t[CE2]he Paper[KL3],flying,VERB,fly,VBG,acl,"
    Eddie slid down the hill, loose papers flying around him.",,,
Chapter 1,t[CE2]he Paper[KL3],Eddie,PROPN,eddie,NNP,nsubj,"
    Eddie gave me a look.",,Eddie,PERSON
Chapter 1,t[CE2]he Paper[KL3],gave,VERB,give,VBD,ROOT,"
    Eddie gave me a look.",,,
Chapter 1,t[CE2]he Paper[KL3],look,NOUN,look,NN,dobj,"
    Eddie gave me a look.",,,
Chapter 1,t[CE2]he Paper[KL3],Eddie,PROPN,eddie,NNP,nsubj,"
    Eddie looked around, as if he expected to see a Soviet spy parachuting down from the sky.",,Eddie,PERSON
Chapter 1,t[CE2]he Paper[KL3],looked,VERB,look,VBD,ROOT,"
    Eddie looked around, as if he expected to see a Soviet spy parachuting down from the sky.",,,
Chapter 1,t[CE2]he Paper[KL3],expected,VERB,expect,VBD,advcl,"
    Eddie looked around, as if he expected to see a Soviet spy parachuting down from the sky.",,,
Chapter 1,t[CE2]he Paper[KL3],Soviet,ADJ,soviet,JJ,amod,"
    Eddie looked around, as if he expected to see a Soviet spy parachuting down from the sky.",,Soviet,NORP
Chapter 1,t[CE2]he Paper[KL3],spy,NOUN,spy,NN,nsubj,"
    Eddie looked around, as if he expected to see a Soviet spy parachuting down from the sky.",,,
Chapter 1,t[CE2]he Paper[KL3],parachuting,VERB,parachute,VBG,ccomp,"
    Eddie looked around, as if he expected to see a Soviet spy parachuting down from the sky.",,,
Chapter 1,t[CE2]he Paper[KL3],sky,NOUN,sky,NN,pobj,"
    Eddie looked around, as if he expected to see a Soviet spy parachuting down from the sky.",,,
Chapter 1,t[CE2]he Paper[KL3],like,INTJ,like,UH,prep,"
    “Is this like the time you convinced everyone the old shack by the pond was haunted and it turned out there were just raccoons inside?” asked Eddie.",,,
Chapter 1,t[CE2]he Paper[KL3],time,NOUN,time,NN,pobj,"
    “Is this like the time you convinced everyone the old shack by the pond was haunted and it turned out there were just raccoons inside?” asked Eddie.",,,
Chapter 1,t[CE2]he Paper[KL3],convinced,VERB,convince,VBD,relcl,"
    “Is this like the time you convinced everyone the old shack by the pond was haunted and it turned out there were just raccoons inside?” asked Eddie.",,,
Chapter 1,t[CE2]he Paper[KL3],old,ADJ,old,JJ,amod,"
    “Is this like the time you convinced everyone the old shack by the pond was haunted and it turned out there were just raccoons inside?” asked Eddie.",,,
Chapter 1,t[CE2]he Paper[KL3],shack,NOUN,shack,NN,dobj,"
    “Is this like the time you convinced everyone the old shack by the pond was haunted and it turned out there were just raccoons inside?” asked Eddie.",,,
Chapter 1,t[CE2]he Paper[KL3],pond,NOUN,pond,NN,pobj,"
    “Is this like the time you convinced everyone the old shack by the pond was haunted and it turned out there were just raccoons inside?” asked Eddie.",,,
Chapter 1,t[CE2]he Paper[KL3],haunted,VERB,haunt,VBN,punct,"
    “Is this like the time you convinced everyone the old shack by the pond was haunted and it turned out there were just raccoons inside?” asked Eddie.",,,
Chapter 1,t[CE2]he Paper[KL3],turned,VERB,turn,VBD,conj,"
    “Is this like the time you convinced everyone the old shack by the pond was haunted and it turned out there were just raccoons inside?” asked Eddie.",,,
Chapter 1,t[CE2]he Paper[KL3],raccoons,NOUN,raccoon,NNS,npadvmod,"
    “Is this like the time you convinced everyone the old shack by the pond was haunted and it turned out there were just raccoons inside?” asked Eddie.",,,
Chapter 1,t[CE2]he Paper[KL3],inside,ADV,inside,RB,advmod,"
    “Is this like the time you convinced everyone the old shack by the pond was haunted and it turned out there were just raccoons inside?” asked Eddie.",,,
Chapter 1,t[CE2]he Paper[KL3],asked,VERB,ask,VBD,ROOT,"
    “Is this like the time you convinced everyone the old shack by the pond was haunted and it turned out there were just raccoons inside?” asked Eddie.",,,
Chapter 1,t[CE2]he Paper[KL3],Eddie,PROPN,eddie,NNP,dobj,"
    “Is this like the time you convinced everyone the old shack by the pond was haunted and it turned out there were just raccoons inside?” asked Eddie.",,Eddie,PERSON
Chapter 1,t[CE2]he Paper[KL3],Eddie,PROPN,eddie,NNP,nsubj,Eddie handed me my shoe and I put it on.,,Eddie,PERSON
Chapter 1,t[CE2]he Paper[KL3],handed,VERB,hand,VBD,ROOT,Eddie handed me my shoe and I put it on.,,,
Chapter 1,t[CE2]he Paper[KL3],shoe,NOUN,shoe,NN,dobj,Eddie handed me my shoe and I put it on.,,,
Chapter 2,the Birthday Dinner,guess,VERB,guess,VBP,ROOT,"I guess she was pretty, but I could only tell because Eddie could never put two sentences together when she was around.",,,
Chapter 2,the Birthday Dinner,pretty,ADJ,pretty,JJ,acomp,"I guess she was pretty, but I could only tell because Eddie could never put two sentences together when she was around.",,,
Chapter 2,the Birthday Dinner,tell,VERB,tell,VB,conj,"I guess she was pretty, but I could only tell because Eddie could never put two sentences together when she was around.",,,
Chapter 2,the Birthday Dinner,Eddie,PROPN,eddie,NNP,nsubj,"I guess she was pretty, but I could only tell because Eddie could never put two sentences together when she was around.",,Eddie,PERSON
Chapter 2,the Birthday Dinner,sentences,NOUN,sentence,NNS,dobj,"I guess she was pretty, but I could only tell because Eddie could never put two sentences together when she was around.",,,
Chapter 5,the Paper Route,Eddie,PROPN,eddie,NNP,nsubj,Eddie and I had christened him Little Skinny because he was so fat.,,Eddie,PERSON
Chapter 5,the Paper Route,christened,VERB,christen,VBN,ROOT,Eddie and I had christened him Little Skinny because he was so fat.,,,
Chapter 5,the Paper Route,Little,PROPN,little,NNP,compound,Eddie and I had christened him Little Skinny because he was so fat.,,Little Skinny,PERSON
Chapter 5,the Paper Route,Skinny,PROPN,skinny,NNP,dobj,Eddie and I had christened him Little Skinny because he was so fat.,,Little Skinny,PERSON
Chapter 5,the Paper Route,fat,ADJ,fat,JJ,acomp,Eddie and I had christened him Little Skinny because he was so fat.,,,
Chapter 6,the Bully,like,ADP,like,IN,prep,What if I was like Eddie with blond hair that jutted off at odd angles and blue eyes that weren’t quite the same size.,,,
Chapter 6,the Bully,Eddie,PROPN,eddie,NNP,pobj,What if I was like Eddie with blond hair that jutted off at odd angles and blue eyes that weren’t quite the same size.,,Eddie,PERSON
Chapter 6,the Bully,blond,ADJ,blond,JJ,amod,What if I was like Eddie with blond hair that jutted off at odd angles and blue eyes that weren’t quite the same size.,,,
Chapter 6,the Bully,hair,NOUN,hair,NN,pobj,What if I was like Eddie with blond hair that jutted off at odd angles and blue eyes that weren’t quite the same size.,,,
Chapter 6,the Bully,jutted,VERB,jut,VBD,relcl,What if I was like Eddie with blond hair that jutted off at odd angles and blue eyes that weren’t quite the same size.,,,
Chapter 6,the Bully,odd,ADJ,odd,JJ,amod,What if I was like Eddie with blond hair that jutted off at odd angles and blue eyes that weren’t quite the same size.,,,
Chapter 6,the Bully,angles,NOUN,angle,NNS,pobj,What if I was like Eddie with blond hair that jutted off at odd angles and blue eyes that weren’t quite the same size.,,,
Chapter 6,the Bully,blue,ADJ,blue,JJ,amod,What if I was like Eddie with blond hair that jutted off at odd angles and blue eyes that weren’t quite the same size.,,,
Chapter 6,the Bully,eyes,NOUN,eye,NNS,conj,What if I was like Eddie with blond hair that jutted off at odd angles and blue eyes that weren’t quite the same size.,,,
Chapter 6,the Bully,size,NOUN,size,NN,attr,What if I was like Eddie with blond hair that jutted off at odd angles and blue eyes that weren’t quite the same size.,,,
Chapter 6,the Bully,Eddie,PROPN,eddie,NNP,nsubj,"
    Eddie glared at her.",,Eddie,PERSON
Chapter 6,the Bully,glared,VERB,glare,VBD,ROOT,"
    Eddie glared at her.",,,
Chapter 6,the Bully,Eddie,PROPN,eddie,NNP,nsubj,"
    Eddie leaned over to me and whispered, “Did you bring the paper?”",,Eddie,PERSON
Chapter 6,the Bully,leaned,VERB,lean,VBD,ROOT,"
    Eddie leaned over to me and whispered, “Did you bring the paper?”",,,
Chapter 6,the Bully,whispered,VERB,whisper,VBD,conj,"
    Eddie leaned over to me and whispered, “Did you bring the paper?”",,,
Chapter 6,the Bully,bring,VERB,bring,VB,ccomp,"
    Eddie leaned over to me and whispered, “Did you bring the paper?”",,,
Chapter 6,the Bully,paper,NOUN,paper,NN,dobj,"
    Eddie leaned over to me and whispered, “Did you bring the paper?”",,,
Chapter 6,the Bully,Come,VERB,come,VB,ccomp,"
    “Come on, come on,” said Eddie.",,,
Chapter 6,the Bully,come,VERB,come,VB,dep,"
    “Come on, come on,” said Eddie.",,,
Chapter 6,the Bully,said,VERB,say,VBD,ROOT,"
    “Come on, come on,” said Eddie.",,,
Chapter 6,the Bully,Eddie,PROPN,eddie,NNP,nsubj,"
    “Come on, come on,” said Eddie.",,Eddie,PERSON
Chapter 6,the Bully,said,VERB,say,VBD,ROOT,"
    “Nothing,” said Eddie.",,,
Chapter 6,the Bully,Eddie,PROPN,eddie,NNP,nsubj,"
    “Nothing,” said Eddie.",,Eddie,PERSON
Chapter 6,the Bully,Eddie,PROPN,eddie,NNP,nsubj,"
    Eddie gave me a puzzled look.",,Eddie,PERSON
Chapter 6,the Bully,gave,VERB,give,VBD,ROOT,"
    Eddie gave me a puzzled look.",,,
Chapter 6,the Bully,puzzled,ADJ,puzzled,JJ,amod,"
    Eddie gave me a puzzled look.",,,
Chapter 6,the Bully,look,NOUN,look,NN,dobj,"
    Eddie gave me a puzzled look.",,,
Chapter 6,the Bully,Eddie,PROPN,eddie,NNP,nsubj,"
    Eddie had returned with the ball.",,Eddie,PERSON
Chapter 6,the Bully,returned,VERB,return,VBN,ROOT,"
    Eddie had returned with the ball.",,,
Chapter 6,the Bully,ball,NOUN,ball,NN,pobj,"
    Eddie had returned with the ball.",,,
Chapter 7,the Yo-Yos,Mr.,PROPN,mr.,NNP,compound,"
    Mr. McKenzie was outside opening a box when Eddie and I arrived.",,,
Chapter 7,the Yo-Yos,McKenzie,PROPN,mckenzie,NNP,nsubj,"
    Mr. McKenzie was outside opening a box when Eddie and I arrived.",Mr. McKenzie,McKenzie,PERSON
Chapter 7,the Yo-Yos,outside,ADV,outside,RB,advmod,"
    Mr. McKenzie was outside opening a box when Eddie and I arrived.",,,
Chapter 7,the Yo-Yos,opening,VERB,open,VBG,pcomp,"
    Mr. McKenzie was outside opening a box when Eddie and I arrived.",,,
Chapter 7,the Yo-Yos,box,NOUN,box,NN,dobj,"
    Mr. McKenzie was outside opening a box when Eddie and I arrived.",,,
Chapter 7,the Yo-Yos,Eddie,PROPN,eddie,NNP,nsubj,"
    Mr. McKenzie was outside opening a box when Eddie and I arrived.",,Eddie,PERSON
Chapter 7,the Yo-Yos,arrived,VERB,arrive,VBD,advcl,"
    Mr. McKenzie was outside opening a box when Eddie and I arrived.",,,
Chapter 7,the Yo-Yos,asked,VERB,ask,VBD,ROOT,"
    “Who?” asked Eddie.",,,
Chapter 7,the Yo-Yos,Eddie,PROPN,eddie,NNP,dobj,"
    “Who?” asked Eddie.",,Eddie,PERSON
Chapter 7,the Yo-Yos,Eddie,PROPN,eddie,NNP,nsubj,"
    Eddie and I looked at each other.",,Eddie,PERSON
Chapter 7,the Yo-Yos,looked,VERB,look,VBD,ROOT,"
    Eddie and I looked at each other.",,,
Chapter 7,the Yo-Yos,Eddie,PROPN,eddie,NNP,nsubj,"
    Eddie and I peeked inside.",,Eddie,PERSON
Chapter 7,the Yo-Yos,peeked,VERB,peek,VBD,ROOT,"
    Eddie and I peeked inside.",,,
Chapter 7,the Yo-Yos,inside,ADV,inside,RB,advmod,"
    Eddie and I peeked inside.",,,
Chapter 7,the Yo-Yos,Eddie,PROPN,eddie,NNP,nsubj,"
    Eddie followed him.",,Eddie,PERSON
Chapter 7,the Yo-Yos,followed,VERB,follow,VBD,ROOT,"
    Eddie followed him.",,,
Chapter 7,the Yo-Yos,Eddie,PROPN,eddie,NNP,nsubj,"As Eddie passed me, he whispered softly, “Hi-Yo, Silver!”",,Eddie,PERSON
Chapter 7,the Yo-Yos,passed,VERB,pass,VBD,advcl,"As Eddie passed me, he whispered softly, “Hi-Yo, Silver!”",,,
Chapter 7,the Yo-Yos,whispered,VERB,whisper,VBD,ROOT,"As Eddie passed me, he whispered softly, “Hi-Yo, Silver!”",,,
Chapter 7,the Yo-Yos,softly,ADV,softly,RB,advmod,"As Eddie passed me, he whispered softly, “Hi-Yo, Silver!”",,,
Chapter 7,the Yo-Yos,Hi,PROPN,hi,NNP,compound,"As Eddie passed me, he whispered softly, “Hi-Yo, Silver!”",,Hi-Yo,WORK_OF_ART
Chapter 7,the Yo-Yos,Yo,PROPN,yo,NNP,dobj,"As Eddie passed me, he whispered softly, “Hi-Yo, Silver!”",,Hi-Yo,WORK_OF_ART
Chapter 7,the Yo-Yos,Silver,PROPN,silver,NNP,npadvmod,"As Eddie passed me, he whispered softly, “Hi-Yo, Silver!”",,,
Chapter 7,the Yo-Yos,Eddie,PROPN,eddie,NNP,nsubj,"
    Eddie waited until we were halfway back to school before he elbowed me in the ribs.",,Eddie,PERSON
Chapter 7,the Yo-Yos,waited,VERB,wait,VBD,ROOT,"
    Eddie waited until we were halfway back to school before he elbowed me in the ribs.",,,
Chapter 7,the Yo-Yos,halfway,ADV,halfway,RB,advmod,"
    Eddie waited until we were halfway back to school before he elbowed me in the ribs.",,,
Chapter 7,the Yo-Yos,school,NOUN,school,NN,pobj,"
    Eddie waited until we were halfway back to school before he elbowed me in the ribs.",,,
Chapter 7,the Yo-Yos,elbowed,VERB,elbow,VBD,advcl,"
    Eddie waited until we were halfway back to school before he elbowed me in the ribs.",,,
Chapter 7,the Yo-Yos,ribs,NOUN,rib,NNS,pobj,"
    Eddie waited until we were halfway back to school before he elbowed me in the ribs.",,,
Chapter 7,the Yo-Yos,Eddie,PROPN,eddie,NNP,nsubj,"
    Eddie handed her the chalk.",,Eddie,PERSON
Chapter 7,the Yo-Yos,handed,VERB,hand,VBD,ROOT,"
    Eddie handed her the chalk.",,,
Chapter 7,the Yo-Yos,chalk,NOUN,chalk,NN,dobj,"
    Eddie handed her the chalk.",,,
Chapter 8,Duck and Cover,Eddie,PROPN,eddie,NNP,nsubj,"
    Eddie nudged me as we watched the film.",,Eddie,PERSON
Chapter 8,Duck and Cover,nudged,VERB,nudge,VBD,ROOT,"
    Eddie nudged me as we watched the film.",,,
Chapter 8,Duck and Cover,watched,VERB,watch,VBD,advcl,"
    Eddie nudged me as we watched the film.",,,
Chapter 8,Duck and Cover,film,NOUN,film,NN,dobj,"
    Eddie nudged me as we watched the film.",,,
Chapter 8,Duck and Cover,Eddie,PROPN,eddie,NNP,nsubj,"
    Eddie jumped up.",,Eddie,PERSON
Chapter 8,Duck and Cover,jumped,VERB,jump,VBD,ROOT,"
    Eddie jumped up.",,,
Chapter 10,Working for Mr. McKenzie,Eddie,PROPN,eddie,NNP,nsubj,Eddie gave me the blue one back,,Eddie,PERSON
Chapter 10,Working for Mr. McKenzie,gave,VERB,give,VBD,ROOT,Eddie gave me the blue one back,,,
Chapter 10,Working for Mr. McKenzie,blue,ADJ,blue,JJ,amod,Eddie gave me the blue one back,,,
Chapter 10,Working for Mr. McKenzie,Eddie,PROPN,eddie,NNP,nsubj,“Eddie and I were thinking about heading over to Mud Lake[CE61] one of these weekends before it gets too cold.,,Eddie,PERSON
Chapter 10,Working for Mr. McKenzie,thinking,VERB,think,VBG,ROOT,“Eddie and I were thinking about heading over to Mud Lake[CE61] one of these weekends before it gets too cold.,,,
Chapter 10,Working for Mr. McKenzie,heading,VERB,head,VBG,pcomp,“Eddie and I were thinking about heading over to Mud Lake[CE61] one of these weekends before it gets too cold.,,,
